year,month,day,hour,minute,WDIR,WSPD,GST,PRES,WTMP,WVHT
2019,01,06,18,40,176,14.5,18.6,1011.0,12.6,3.33
2019,01,06,21,40,181,12.1,16.4,1008.3,12.5,3.99
2019,01,07,00,40,201,13.3,16.5,1005.5,12.5,3.65
2019,01,07,03,40,210,11.3,14.3,1006.7,12.5,3.44
2019,01,07,06,40,288,6.6,8.8,1012.3,12.6,3.26
2019,01,07,09,40,287,7.0,8.7,1017.0,12.6,3.17
2019,01,07,12,40,328,1.7,3.2,1018.7,12.6,2.91
2019,01,07,15,40,134,4.0,5.7,1020.6,12.6,2.84
2019,01,07,18,40,140,4.0,5.4,1022.0,12.5,2.46
2019,01,07,21,40,141,5.7,7.9,1020.6,12.6,2.36
2019,01,08,00,40,144,6.4,8.1,1020.9,12.6,2.26
2019,01,08,03,40,132,6.4,8.1,1020.7,12.6,1.76
2019,01,08,06,40,131,8.1,10.3,1019.8,12.6,1.83
2019,01,08,09,40,130,7.6,9.5,1018.6,12.7,1.82
2019,01,08,12,40,148,7.6,9.1,1016.9,12.7,2.01
2019,01,08,15,40,146,9.9,12.1,1016.4,12.7,1.90
2019,01,08,18,40,150,9.2,11.6,1017.5,12.7,1.92
2019,01,08,21,40,146,11.1,13.4,1014.6,12.7,2.29
2019,01,09,00,40,148,9.4,12.3,1013.2,12.7,2.68
2019,01,09,03,40,158,10.9,14.0,1013.2,12.7,3.29
2019,01,09,06,40,160,12.4,15.3,1012.6,12.6,4.88
2019,01,09,09,40,175,11.7,16.2,1013.6,12.6,5.74
2019,01,09,12,40,168,9.5,11.7,1014.7,12.6,4.88
2019,01,09,15,40,165,7.7,9.5,1016.5,12.4,3.73
2019,01,09,18,40,170,7.1,9.9,1018.8,12.5,3.68
2019,01,09,21,40,171,7.0,8.8,1018.1,12.6,4.18
2019,01,10,00,40,165,4.3,6.7,1019.0,12.6,4.51
2019,01,10,03,40,168,5.3,7.3,1020.7,12.6,4.15
2019,01,10,06,40,179,5.1,6.6,1021.7,12.6,3.59
2019,01,10,09,40,172,4.7,6.3,1022.0,12.5,3.23
2019,01,10,12,40,168,3.6,5.0,1021.8,12.7,2.88
2019,01,10,15,40,123,2.8,4.9,1022.2,12.8,3.01
2019,01,10,18,40,97,3.9,6.0,1022.6,12.8,3.00
2019,01,10,21,40,142,0.7,3.0,1020.4,13.0,3.16
2019,01,11,00,40,126,2.5,4.3,1019.9,12.9,2.36
2019,01,11,03,40,126,4.2,6.0,1018.3,12.8,1.96
2019,01,11,06,40,110,5.4,7.4,1017.4,12.8,1.74
2019,01,11,09,40,107,5.3,6.8,1016.5,12.8,1.30
2019,01,11,12,40,100,7.8,10.1,1014.3,12.7,1.42
2019,01,11,15,40,87,9.7,11.8,1013.3,12.7,1.63
2019,01,11,18,40,90,9.6,11.8,1013.6,12.7,1.90
2019,01,11,21,40,138,11.4,14.4,1011.2,12.7,2.35
2019,01,12,00,40,130,10.7,13.8,1011.1,12.7,2.81
2019,01,12,04,40,133,3.7,6.0,1011.6,12.7,3.31
2019,01,12,07,40,144,4.6,6.1,1011.9,12.9,2.87
2019,01,12,10,40,76,6.2,8.7,1013.3,12.9,2.95
2019,01,12,13,40,79,5.5,8.2,1013.9,12.8,3.20
2019,01,12,16,40,86,4.4,7.1,1015.5,12.8,3.72
2019,01,12,19,40,90,4.2,6.7,1015.4,12.8,3.51
2019,01,12,22,40,172,4.4,5.6,1014.9,12.9,3.23
2019,01,13,01,40,151,8.6,11.2,1015.2,13.0,3.04
2019,01,13,04,40,157,7.8,10.5,1016.4,12.9,3.16
2019,01,13,07,40,131,5.4,7.5,1016.9,13.0,2.57
2019,01,13,10,40,131,5.7,7.2,1017.1,13.0,2.19
2019,01,13,13,40,92,6.6,9.0,1016.0,13.0,2.21
2019,01,13,16,40,84,8.1,10.9,1016.0,13.0,2.05
2019,01,13,19,40,83,7.0,9.1,1016.1,13.1,1.87
2019,01,13,22,40,88,3.8,6.0,1014.5,13.1,1.60
2019,01,14,02,40,100,2.9,4.3,1014.7,13.1,2.09
2019,01,14,05,40,80,4.8,6.9,1014.5,13.1,2.36
2019,01,14,08,40,86,5.4,6.9,1013.4,13.1,2.15
2019,01,14,11,40,68,7.2,9.2,1012.3,13.1,2.63
2019,01,14,14,40,88,6.0,8.0,1012.0,13.1,2.78
2019,01,14,17,40,83,8.1,10.8,1012.3,13.0,2.87
2019,01,14,20,40,88,7.9,10.8,1010.0,13.0,3.24
2019,01,14,23,40,137,10.1,12.8,1010.2,13.0,3.07
2019,01,15,02,40,122,7.6,9.6,1010.7,13.0,2.78
2019,01,15,05,40,117,7.8,10.1,1010.6,13.0,2.64
2019,01,15,09,40,130,10.8,13.7,1009.8,13.0,2.66
2019,01,15,12,40,132,9.1,11.6,1009.1,13.0,2.82
2019,01,15,15,40,125,8.2,10.8,1009.3,13.1,2.80
2019,01,15,19,40,104,11.0,14.4,1008.5,13.1,2.36
2019,01,15,22,40,82,10.3,12.6,1005.2,13.1,2.21
2019,01,16,01,40,96,7.9,12.0,1004.9,13.1,2.93
2019,01,16,04,40,202,7.3,9.6,1009.2,13.1,3.08
2019,01,16,07,40,177,9.3,11.3,1012.3,13.1,2.80
2019,01,16,10,40,179,9.1,11.6,1012.9,13.0,2.52
2019,01,16,15,40,157,12.5,15.7,1012.8,13.1,2.68
2019,01,16,18,40,156,14.7,19.3,1012.2,13.2,2.96
2019,01,16,21,40,156,15.6,20.3,1008.6,13.2,4.03
2019,01,17,00,40,162,15.7,19.5,1006.8,13.3,4.14
2019,01,17,03,40,169,14.4,19.0,1006.6,13.2,4.66
2019,01,17,06,40,213,8.9,11.8,1008.8,13.3,4.18
2019,01,17,09,40,196,7.6,9.4,1010.4,13.2,3.48
2019,01,17,12,40,176,7.0,9.4,1012.1,13.2,3.41
2019,01,17,15,40,228,7.4,9.6,1014.1,13.2,3.49
2019,01,17,18,40,210,5.4,7.8,1017.4,13.1,6.51
2019,01,17,21,40,206,5.4,7.7,1018.1,13.3,6.03
2019,01,18,00,40,230,5.9,9.2,1019.8,13.3,5.93
2019,01,18,03,40,244,6.2,9.0,1021.5,13.4,4.89
2019,01,18,06,40,225,3.4,5.8,1024.1,13.4,5.29
2019,01,18,09,40,199,1.9,3.3,1025.3,13.4,4.03
2019,01,18,12,40,134,4.2,6.6,1025.2,13.3,4.69
2019,01,18,15,40,108,3.3,6.5,1026.3,13.3,4.34
2019,01,18,18,40,111,4.4,7.7,1027.0,13.4,3.91
2019,01,18,21,40,131,3.2,5.8,1026.2,13.5,3.44
2019,01,19,00,40,154,3.8,6.0,1026.5,13.5,2.68
2019,01,19,03,40,159,3.5,4.9,1027.5,13.4,2.77
2019,01,19,06,40,115,2.8,4.9,1028.8,13.4,2.56
2019,01,19,09,40,130,4.3,6.3,1028.3,13.3,2.15
2019,01,19,12,40,107,4.6,7.0,1027.8,13.3,2.48
2019,01,19,15,40,98,3.3,5.3,1028.4,13.3,2.32
2019,01,19,18,40,91,3.5,5.3,1028.8,13.4,2.03
2019,01,19,21,40,209,0.6,1.4,1026.6,13.4,2.19
2019,01,20,00,40,64,0.6,1.7,1024.9,13.5,2.16
2019,01,20,03,40,177,1.5,2.6,1023.4,13.4,2.32
2019,01,20,06,40,221,3.1,4.4,1022.7,13.6,2.40
2019,01,20,09,40,175,3.0,3.9,1021.4,13.6,2.42
2019,01,20,12,40,196,4.6,5.9,1020.4,13.4,2.12
2019,01,20,15,40,201,7.7,9.5,1019.5,13.3,1.94
2019,01,20,18,40,227,5.4,6.7,1019.8,13.3,2.11
2019,01,20,21,40,259,6.5,8.3,1017.7,13.4,2.22
2019,01,21,00,40,281,12.5,15.7,1016.8,13.3,2.12
2019,01,21,03,40,271,10.1,13.0,1016.6,13.2,2.48
2019,01,21,06,40,284,11.0,14.2,1018.0,13.2,2.74
2019,01,21,09,40,296,10.9,13.9,1018.9,13.2,3.04
2019,01,21,12,40,310,9.0,11.4,1020.2,13.1,2.89
2019,01,21,15,40,317,8.7,11.2,1022.7,13.1,2.54
2019,01,21,18,40,308,10.5,13.5,1024.8,13.2,2.70
2019,01,21,21,40,320,10.6,12.6,1024.6,13.2,2.98
2019,01,22,00,40,321,10.3,12.7,1025.7,13.1,2.82
2019,01,22,03,40,335,10.2,12.5,1026.5,13.1,2.93
2019,01,22,06,40,332,7.3,9.8,1027.6,13.1,2.95
2019,01,22,09,40,329,6.2,7.7,1028.2,13.1,2.62
2019,01,22,12,40,349,6.0,7.7,1028.0,13.1,2.34
2019,01,22,15,40,46,2.6,4.2,1029.3,13.1,2.17
2019,01,22,18,40,355,4.6,5.9,1030.8,13.1,1.89
2019,01,22,21,40,319,4.6,5.8,1029.1,13.2,1.89
2019,01,23,00,40,319,6.7,8.2,1029.1,13.1,1.71
2019,01,23,03,40,353,2.7,3.5,1030.0,13.1,1.63
2019,01,23,06,40,18,0.3,1.5,1030.5,13.1,1.56
2019,01,23,09,40,107,0.7,1.5,1030.7,13.0,1.40
2019,01,23,12,40,54,2.4,3.4,1030.4,13.0,1.51
2019,01,23,15,40,102,3.2,4.6,1030.8,13.0,1.52
2019,01,23,18,40,103,2.3,3.6,1031.6,13.0,1.42
2019,01,23,22,40,317,2.6,3.8,1028.2,13.5,1.38
2019,01,24,01,40,333,4.0,5.3,1027.4,13.1,1.55
2019,01,24,04,40,315,4.6,6.1,1027.4,13.0,1.97
2019,01,24,07,40,326,5.4,7.1,1026.6,13.0,2.25
2019,01,24,10,40,330,4.6,6.0,1025.2,12.9,2.18
2019,01,24,13,40,20,2.8,3.5,1025.2,12.8,2.25
2019,01,24,16,40,158,0.8,2.3,1025.3,12.7,2.27
2019,01,24,19,40,310,2.8,4.1,1024.5,12.9,2.14
2019,01,24,22,40,320,4.7,6.6,1022.8,13.2,2.06
2019,01,25,01,40,292,6.0,7.6,1023.4,13.1,1.94
2019,01,25,04,40,346,2.1,3.2,1024.0,12.9,1.93
2019,01,25,07,40,329,4.5,5.7,1024.2,12.7,1.81
2019,01,25,10,40,360,3.3,4.3,1023.3,12.7,1.91
2019,01,25,13,40,87,7.0,8.9,1023.0,12.6,1.95
2019,01,25,16,40,77,7.0,9.0,1024.2,12.7,1.81
2019,01,25,19,40,92,3.3,5.2,1024.8,12.9,1.85
2019,01,25,22,40,323,3.7,5.0,1023.4,13.2,1.88
2019,01,26,01,40,340,4.7,5.8,1022.6,13.1,1.66
2019,01,26,04,40,340,5.0,6.0,1024.2,13.1,1.68
2019,01,26,07,40,7,2.9,3.9,1024.2,13.1,1.86
2019,01,26,10,40,73,3.1,4.6,1024.5,12.8,1.92
2019,01,26,13,40,89,4.0,5.9,1025.1,12.8,1.90
2019,01,26,16,40,65,2.7,4.2,1026.6,12.9,1.67
2019,01,26,19,40,61,5.8,7.7,1026.0,13.0,1.53
2019,01,26,22,40,350,2.1,2.8,1024.5,13.2,1.54
2019,01,27,01,40,53,1.9,2.8,1024.5,13.3,1.26
2019,01,27,04,40,294,0.9,1.6,1025.3,13.2,1.45
2019,01,27,07,40,78,1.8,2.7,1024.9,13.1,1.27
2019,01,27,10,40,27,0.8,2.3,1024.4,13.0,1.19
2019,01,27,13,40,109,1.6,2.4,1023.4,13.0,1.19
2019,01,27,16,40,80,5.4,6.6,1024.1,13.0,1.11
2019,01,27,19,40,90,3.4,4.5,1023.2,13.0,1.30
2019,01,27,22,40,303,2.7,3.7,1020.8,13.2,1.42
2019,01,28,02,40,313,6.0,7.6,1019.8,13.2,1.39
2019,01,28,05,40,315,6.4,7.6,1019.5,13.1,1.32
2019,01,28,08,40,319,4.8,6.0,1018.5,13.1,1.32
2019,01,28,11,40,337,4.9,6.0,1017.9,13.1,1.34
2019,01,28,14,40,324,5.9,7.1,1017.5,13.0,1.38
2019,01,28,17,40,26,3.7,4.3,1018.4,12.8,1.33
2019,01,28,20,40,286,6.2,7.9,1018.5,13.2,1.46
2019,01,28,23,40,325,5.8,7.2,1016.9,13.2,1.48
2019,01,29,02,40,327,5.7,6.9,1016.8,13.2,1.18
2019,01,29,05,40,294,2.9,4.1,1016.7,13.1,1.05
2019,01,29,08,40,314,4.6,6.0,1016.5,13.1,1.08
2019,01,29,11,40,346,1.5,2.4,1015.6,13.1,1.27
2019,01,29,14,40,308,2.8,3.7,1015.9,13.0,1.25
2019,01,29,17,40,310,3.6,5.1,1017.5,13.1,1.03
2019,01,29,20,40,315,2.7,3.8,1016.3,13.1,0.90
2019,01,29,23,40,305,5.4,6.9,1015.6,13.3,0.93
2019,01,30,02,40,310,5.1,7.0,1015.2,13.2,1.00
2019,01,30,05,40,286,3.7,4.6,1015.2,13.1,1.14
2019,01,30,08,40,298,3.5,4.7,1014.7,13.1,1.14
2019,01,30,11,40,289,1.9,3.4,1014.6,13.0,1.16
2019,01,30,14,40,231,1.0,1.8,1014.5,13.0,1.07
2019,01,30,17,40,133,2.0,3.0,1015.1,13.1,1.17
2019,01,30,20,40,122,3.6,4.5,1013.5,13.2,1.28
2019,01,30,23,40,168,5.1,6.0,1011.2,13.5,1.53
2019,01,31,02,40,230,2.2,3.5,1011.4,13.4,1.48
2019,01,31,05,40,72,6.5,8.7,1011.0,13.2,1.60
2019,01,31,09,40,97,3.8,5.3,1010.9,13.1,1.46
2019,01,31,12,40,156,2.2,3.8,1011.0,13.1,1.84
2019,01,31,15,40,61,0.5,1.4,1012.2,13.0,1.76
2019,01,31,18,40,159,0.6,1.2,1014.4,13.1,1.86
2019,01,31,21,40,34,2.4,3.4,1013.3,13.3,1.92
2019,02,01,00,40,125,2.6,4.4,1012.0,13.4,1.80
2019,02,01,04,40,214,5.0,6.8,1013.3,13.1,1.90
2019,02,01,07,40,231,3.1,4.0,1013.7,13.1,1.79
2019,02,01,10,40,118,4.4,6.0,1013.0,13.1,1.90
2019,02,01,13,40,142,6.6,9.1,1011.7,13.1,1.79
2019,02,01,16,40,144,9.1,12.1,1011.2,13.2,2.11
2019,02,01,19,40,158,10.7,13.1,1010.8,13.2,2.08
2019,02,01,22,40,148,13.5,16.9,1007.0,13.2,2.75
2019,02,02,01,40,144,14.5,19.1,1004.1,13.2,3.09
2019,02,02,04,40,133,13.9,18.8,1002.3,13.2,4.05
2019,02,02,07,40,142,15.5,20.0,999.9,13.2,4.11
2019,02,02,10,40,139,16.5,21.2,996.0,13.3,5.40
2019,02,02,13,40,146,10.6,13.1,996.2,13.3,4.32
2019,02,02,16,40,195,8.6,11.6,998.2,13.3,3.92
2019,02,02,19,40,170,10.5,13.9,999.1,13.3,3.30
2019,02,02,22,40,163,12.5,15.9,997.5,13.3,3.77
2019,02,03,01,40,149,14.8,19.9,995.8,13.3,4.70
2019,02,03,04,40,129,11.1,14.3,995.3,13.3,4.85
2019,02,03,07,40,158,5.4,7.2,996.2,13.2,4.04
2019,02,03,10,40,86,4.9,7.7,998.9,13.2,3.46
2019,02,03,13,40,248,6.4,8.4,1000.8,13.2,3.20
2019,02,03,16,40,250,7.5,9.8,1004.2,13.3,3.21
2019,02,03,19,40,251,11.3,15.1,1006.6,13.3,3.07
2019,02,03,22,40,243,8.9,14.3,1006.7,13.3,2.98
2019,02,04,01,40,215,7.3,9.5,1006.2,13.3,2.97
2019,02,04,04,40,172,8.6,10.6,1004.3,13.2,2.58
2019,02,04,07,40,170,13.3,18.5,1001.9,13.2,2.82
2019,02,04,10,40,230,8.6,11.2,999.8,13.2,2.75
2019,02,04,13,40,284,10.7,13.2,1001.0,13.2,2.64
2019,02,04,16,40,291,11.8,14.9,1003.6,13.2,2.41
2019,02,04,19,40,294,8.2,10.2,1005.3,13.2,2.40
2019,02,04,22,40,266,10.0,13.0,1004.1,13.2,2.66
2019,02,05,01,40,290,9.7,13.2,1004.2,13.2,2.74
2019,02,05,04,40,269,10.1,12.8,1005.3,13.2,3.61
2019,02,05,07,40,286,7.9,13.9,1006.1,13.2,3.92
2019,02,05,10,40,282,11.0,14.2,1007.1,13.1,4.28
2019,02,05,13,40,328,9.3,12.8,1008.2,13.1,3.88
2019,02,05,16,40,334,7.9,10.6,1011.7,13.1,3.57
2019,02,05,19,40,341,8.3,11.7,1014.1,13.1,3.34
2019,02,05,22,40,323,9.3,11.8,1014.6,13.2,2.64
2019,02,06,01,40,317,10.0,12.7,1015.7,12.8,3.00
2019,02,06,04,40,321,9.9,12.3,1017.6,12.8,3.17
2019,02,06,08,40,320,7.4,9.9,1019.1,12.8,2.71
2019,02,06,11,40,328,9.5,12.3,1019.9,12.7,2.49
2019,02,06,14,40,324,8.9,11.6,1020.8,12.6,2.33
2019,02,06,17,40,327,7.9,10.0,1022.9,12.6,2.07
2019,02,06,20,40,319,8.6,10.7,1023.1,12.7,1.97
2019,02,06,23,40,318,8.8,10.8,1022.9,12.8,1.98
2019,02,07,02,40,321,8.9,11.4,1023.5,12.9,2.15
2019,02,07,05,40,355,3.1,4.1,1024.7,12.9,2.22
2019,02,07,09,40,85,4.4,5.9,1025.0,12.9,1.78
2019,02,07,12,40,85,6.1,8.1,1024.7,12.9,1.79
2019,02,07,15,40,85,7.6,9.4,1025.6,12.8,1.96
2019,02,07,18,40,89,7.4,9.1,1026.2,12.9,1.86
2019,02,07,21,40,164,3.1,4.3,1024.7,12.9,1.50
2019,02,08,00,40,113,0.4,1.7,1023.9,12.9,1.57
2019,02,08,03,40,77,1.1,2.3,1023.7,12.9,1.70
2019,02,08,06,40,93,4.1,5.9,1022.8,12.9,1.34
2019,02,08,09,40,93,2.5,4.0,1021.9,12.8,1.57
2019,02,08,12,40,118,4.9,6.4,1019.8,12.7,1.44
2019,02,08,15,40,123,7.4,10.3,1018.8,12.8,1.57
2019,02,08,18,40,97,8.5,10.6,1017.7,12.9,1.55
2019,02,08,21,40,124,9.7,12.2,1015.2,12.6,1.61
2019,02,09,00,40,117,8.9,10.8,1013.6,12.6,1.76
2019,02,09,03,40,89,7.6,9.4,1013.5,12.5,1.86
2019,02,09,06,40,73,6.0,7.7,1013.7,12.5,1.75
2019,02,09,09,40,86,5.7,7.4,1013.5,12.4,1.76
2019,02,09,12,40,70,0.7,1.7,1013.3,12.4,1.63
2019,02,09,15,40,305,3.2,4.4,1014.6,12.4,1.59
2019,02,09,18,40,248,6.9,9.0,1015.4,12.4,1.64
2019,02,09,21,40,223,9.5,12.1,1013.2,12.4,1.68
2019,02,10,00,40,232,10.6,13.3,1012.0,12.5,2.20
2019,02,10,03,40,270,12.4,15.8,1011.3,12.6,2.83
2019,02,10,06,40,280,9.3,12.4,1012.1,12.7,2.93
2019,02,10,09,40,294,7.7,10.3,1012.6,12.7,3.38
2019,02,10,12,40,326,11.0,15.4,1012.4,12.7,3.60
2019,02,10,15,40,340,6.9,9.5,1014.5,12.3,2.96
2019,02,10,18,40,317,6.6,9.1,1017.3,12.3,3.15
2019,02,10,21,40,301,8.6,11.5,1017.8,12.5,3.00
2019,02,11,00,40,312,8.5,10.7,1019.3,12.5,2.84
2019,02,11,03,40,312,8.2,10.1,1021.0,12.4,2.76
2019,02,11,06,40,309,6.3,8.2,1022.9,12.2,2.49
2019,02,11,09,40,310,8.3,10.5,1023.1,12.1,2.21
2019,02,11,12,40,77,0.2,1.4,1022.6,12.1,2.25
2019,02,11,15,40,109,2.9,4.9,1023.2,11.9,2.03
2019,02,11,18,40,168,5.3,7.7,1024.8,11.9,2.03
2019,02,11,21,40,152,4.6,6.3,1023.5,12.3,1.75
2019,02,12,00,40,142,4.5,6.0,1022.7,12.4,1.81
2019,02,12,03,40,262,1.2,2.1,1022.4,12.3,1.68
2019,02,12,06,40,126,3.2,4.8,1021.3,12.1,1.67
2019,02,12,09,40,98,5.1,6.6,1019.8,12.1,1.37
2019,02,12,13,40,86,6.7,8.0,1018.0,12.1,1.45
2019,02,12,16,40,103,5.2,6.8,1018.8,11.9,1.43
2019,02,12,19,40,124,6.7,8.7,1016.9,12.1,1.29
2019,02,12,22,40,137,7.8,11.3,1012.8,12.2,1.54
2019,02,13,01,40,138,10.9,13.6,1011.2,12.3,2.32
2019,02,13,04,40,151,14.8,22.5,1008.3,12.5,2.79
2019,02,13,07,40,151,16.1,20.1,1006.4,12.7,3.72
2019,02,13,10,40,153,17.4,23.2,1003.2,12.9,4.69
2019,02,13,13,40,151,14.3,18.8,1001.8,12.7,5.09
2019,02,13,16,40,97,10.6,13.1,1002.2,12.7,4.21
2019,02,13,19,40,156,15.4,20.5,1000.6,12.8,5.32
2019,02,13,22,40,167,13.6,16.8,999.9,12.9,4.94
2019,02,14,01,40,159,12.4,16.8,1000.3,12.9,4.57
2019,02,14,04,40,159,14.9,19.9,999.2,12.9,3.81
2019,02,14,07,40,157,15.0,21.7,996.4,12.9,3.84
2019,02,14,10,40,167,15.7,20.7,994.5,12.9,5.44
2019,02,14,13,40,236,7.7,10.1,996.4,12.9,4.68
2019,02,14,16,40,225,7.8,10.0,999.1,12.9,3.47
2019,02,14,19,40,257,5.2,7.1,1001.6,12.9,2.71
2019,02,14,22,40,266,9.8,12.5,1003.7,12.9,2.54
2019,02,15,01,40,236,10.1,12.9,1006.2,12.9,2.73
2019,02,15,04,40,215,11.6,14.1,1008.3,12.9,3.11
2019,02,15,07,40,241,8.1,10.3,1010.5,12.9,3.30
2019,02,15,10,40,232,6.4,8.5,1013.3,12.8,3.32
2019,02,15,13,40,209,8.0,10.1,1013.3,12.8,3.17
2019,02,15,16,40,219,8.4,10.6,1014.8,12.8,3.24
2019,02,15,19,40,254,10.9,15.3,1016.7,12.8,3.78
2019,02,15,22,40,270,5.9,8.7,1016.1,12.9,4.76
2019,02,16,01,40,275,7.5,10.5,1016.7,12.8,5.34
2019,02,16,04,40,258,8.3,11.9,1017.7,12.8,4.40
2019,02,16,07,40,265,9.1,12.3,1018.6,12.8,4.34
2019,02,16,10,40,325,6.4,8.6,1020.0,12.8,4.61
2019,02,16,13,40,303,8.8,11.6,1021.2,12.7,3.91
2019,02,16,16,40,299,9.7,12.4,1022.6,12.6,3.92
2019,02,16,19,40,302,11.0,14.8,1023.1,12.5,3.97
2019,02,16,22,40,313,11.0,15.4,1021.6,12.6,4.01
2019,02,17,01,40,306,11.2,15.4,1021.2,12.6,3.90
2019,02,17,04,40,306,10.3,13.2,1020.9,12.6,3.56
2019,02,17,07,40,297,7.2,10.6,1020.8,12.6,3.36
2019,02,17,10,40,243,3.5,5.6,1018.5,12.5,3.07
2019,02,17,13,40,324,9.9,15.4,1017.3,12.6,3.01
2019,02,17,16,40,311,10.2,13.2,1018.1,12.5,3.09
2019,02,17,19,40,316,10.5,13.5,1018.6,12.4,3.20
2019,02,17,22,40,306,10.8,14.1,1017.7,12.6,2.77
2019,02,18,01,40,314,12.3,15.2,1017.2,12.7,2.70
2019,02,18,04,40,336,10.9,13.6,1018.8,12.8,2.81
2019,02,18,07,40,335,7.1,10.0,1020.8,12.8,2.52
2019,02,18,10,40,343,6.1,7.7,1021.6,12.6,2.40
2019,02,18,13,40,342,6.7,8.0,1022.3,12.6,2.30
2019,02,18,16,40,346,6.4,8.2,1024.4,12.6,2.30
2019,02,18,19,40,335,5.0,7.2,1025.1,12.6,2.51
2019,02,18,22,40,306,8.3,10.2,1023.7,12.6,2.40
2019,02,19,01,40,316,8.6,10.6,1023.6,12.5,2.12
2019,02,19,04,40,330,6.4,8.2,1024.0,12.5,2.26
2019,02,19,07,40,346,1.6,3.2,1023.9,12.5,2.17
2019,02,19,10,40,345,5.3,6.6,1023.6,12.4,2.30
2019,02,19,13,40,334,4.0,5.3,1023.3,12.1,2.13
2019,02,19,16,40,344,3.6,4.8,1024.6,12.1,1.89
2019,02,19,19,40,306,1.7,3.0,1024.5,12.6,1.65
2019,02,19,22,40,301,7.5,9.1,1022.8,12.7,1.72
2019,02,20,01,40,313,9.6,11.6,1021.8,12.5,1.95
2019,02,20,04,40,303,10.9,13.4,1020.7,12.4,2.43
2019,02,20,07,40,317,12.0,14.9,1019.8,12.4,2.84
2019,02,20,10,40,317,12.5,15.5,1019.0,12.5,2.61
2019,02,20,13,40,322,9.7,11.8,1017.1,12.4,2.05
2019,02,20,16,40,328,5.9,11.3,1016.6,12.4,1.85
2019,02,20,19,40,303,10.4,13.6,1015.1,12.5,2.40
2019,02,20,22,40,312,13.3,16.0,1011.7,12.6,2.97
2019,02,21,01,40,311,14.7,19.0,1010.1,12.7,3.01
2019,02,21,04,40,319,13.9,17.3,1009.0,12.6,2.85
2019,02,21,07,40,324,12.5,16.0,1007.9,12.7,2.78
2019,02,21,10,40,325,12.2,15.0,1007.0,12.6,2.86
2019,02,21,13,40,342,7.9,10.2,1007.4,12.6,2.57
2019,02,21,16,40,343,6.7,8.5,1008.5,12.5,2.82
2019,02,21,19,40,326,6.7,8.7,1008.8,12.6,2.66
2019,02,21,22,40,315,10.3,12.9,1008.2,12.6,2.76
