Year,Month,Day,latitude,longitude,Nationality,ShipName,ShipType,VoyageFrom,VoyageTo
1774,5,24,49.1,-15.86,BRITISH,ACTIVE,6TH RATE FRIGAT,BOSTON,PLYMOUTH
1776,11,14,39.83,-71.6,BRITISH,ACTIVE,6TH RATE FRIGAT,NEW YORK,PLYMOUTH
1776,11,15,39.28,-70.16,BRITISH,ACTIVE,6TH RATE FRIGAT,NEW YORK,PLYMOUTH
1776,11,16,39.15,-68.98,BRITISH,ACTIVE,6TH RATE FRIGAT,NEW YORK,PLYMOUTH
1776,11,17,39.15,-65.13,BRITISH,ACTIVE,6TH RATE FRIGAT,NEW YORK,PLYMOUTH
1776,11,18,39.23,-61.55,BRITISH,ACTIVE,6TH RATE FRIGAT,NEW YORK,PLYMOUTH
1776,11,19,39.35,-58.35,BRITISH,ACTIVE,6TH RATE FRIGAT,NEW YORK,PLYMOUTH
1776,11,20,38.47,-56.66,BRITISH,ACTIVE,6TH RATE FRIGAT,NEW YORK,PLYMOUTH
1776,11,21,38.13,-55.25,BRITISH,ACTIVE,6TH RATE FRIGAT,NEW YORK,PLYMOUTH
1776,11,22,37.68,-54.7,BRITISH,ACTIVE,6TH RATE FRIGAT,NEW YORK,PLYMOUTH
1776,11,23,38.78,-54.55,BRITISH,ACTIVE,6TH RATE FRIGAT,NEW YORK,PLYMOUTH
1776,11,24,40,-53.98,BRITISH,ACTIVE,6TH RATE FRIGAT,NEW YORK,PLYMOUTH
1776,11,25,41.5,-51.61,BRITISH,ACTIVE,6TH RATE FRIGAT,NEW YORK,PLYMOUTH
1776,11,26,42.13,-49.91,BRITISH,ACTIVE,6TH RATE FRIGAT,NEW YORK,PLYMOUTH
1776,11,27,42.42,-47.71,BRITISH,ACTIVE,6TH RATE FRIGAT,NEW YORK,PLYMOUTH
1776,11,28,43.37,-45,BRITISH,ACTIVE,6TH RATE FRIGAT,NEW YORK,PLYMOUTH
1776,11,29,44.6,-41.15,BRITISH,ACTIVE,6TH RATE FRIGAT,NEW YORK,PLYMOUTH
1776,11,30,45.52,-36.6,BRITISH,ACTIVE,6TH RATE FRIGAT,NEW YORK,PLYMOUTH
1776,12,1,46.38,-32.43,BRITISH,ACTIVE,6TH RATE FRIGAT,NEW YORK,PLYMOUTH
1776,12,2,46.68,-29.71,BRITISH,ACTIVE,6TH RATE FRIGAT,NEW YORK,PLYMOUTH
1776,12,3,48.72,-25.5,BRITISH,ACTIVE,6TH RATE FRIGAT,NEW YORK,PLYMOUTH
1776,12,4,49.22,-21.03,BRITISH,ACTIVE,6TH RATE FRIGAT,NEW YORK,PLYMOUTH
1776,12,5,49.53,-17.26,BRITISH,ACTIVE,6TH RATE FRIGAT,NEW YORK,PLYMOUTH
1776,12,6,49.53,-13.75,BRITISH,ACTIVE,6TH RATE FRIGAT,NEW YORK,PLYMOUTH
1776,12,7,49.47,-11.9,BRITISH,ACTIVE,6TH RATE FRIGAT,NEW YORK,PLYMOUTH
1776,12,8,49.17,-10.83,BRITISH,ACTIVE,6TH RATE FRIGAT,NEW YORK,PLYMOUTH
1776,12,9,49.22,-8.6,BRITISH,ACTIVE,6TH RATE FRIGAT,NEW YORK,PLYMOUTH
1777,4,6,49.45,-4.55,BRITISH,ACTIVE,6TH RATE FRIGAT,JERSEY,NOVA SCOTIA
1777,4,7,49.15,-7.52,BRITISH,ACTIVE,6TH RATE FRIGAT,JERSEY,NOVA SCOTIA
1777,4,8,48.17,-10.9,BRITISH,ACTIVE,6TH RATE FRIGAT,JERSEY,NOVA SCOTIA
1777,4,9,46.75,-13.72,BRITISH,ACTIVE,6TH RATE FRIGAT,JERSEY,NOVA SCOTIA
1777,4,10,46.12,-15.73,BRITISH,ACTIVE,6TH RATE FRIGAT,JERSEY,NOVA SCOTIA
1777,4,11,46.33,-16.55,BRITISH,ACTIVE,6TH RATE FRIGAT,JERSEY,NOVA SCOTIA
1777,4,12,46.2,-15.65,BRITISH,ACTIVE,6TH RATE FRIGAT,JERSEY,NOVA SCOTIA
1777,4,13,46,-16.62,BRITISH,ACTIVE,6TH RATE FRIGAT,JERSEY,NOVA SCOTIA
1777,4,14,45.07,-18.05,BRITISH,ACTIVE,6TH RATE FRIGAT,JERSEY,NOVA SCOTIA
1777,4,15,45.78,-20.82,BRITISH,ACTIVE,6TH RATE FRIGAT,JERSEY,NOVA SCOTIA
1777,4,16,46,-21.42,BRITISH,ACTIVE,6TH RATE FRIGAT,JERSEY,NOVA SCOTIA
1777,4,17,45.72,-23.05,BRITISH,ACTIVE,6TH RATE FRIGAT,JERSEY,NOVA SCOTIA
1777,4,18,45.3,-23.43,BRITISH,ACTIVE,6TH RATE FRIGAT,JERSEY,NOVA SCOTIA
1777,4,19,45.52,-23.88,BRITISH,ACTIVE,6TH RATE FRIGAT,JERSEY,NOVA SCOTIA
1777,4,20,45.75,-24.63,BRITISH,ACTIVE,6TH RATE FRIGAT,JERSEY,NOVA SCOTIA
1777,4,21,44.72,-24.63,BRITISH,ACTIVE,6TH RATE FRIGAT,JERSEY,NOVA SCOTIA
1777,4,22,43.92,-24.63,BRITISH,ACTIVE,6TH RATE FRIGAT,JERSEY,NOVA SCOTIA
1777,4,23,44.92,-24.07,BRITISH,ACTIVE,6TH RATE FRIGAT,JERSEY,NOVA SCOTIA
1777,4,24,44.75,-25.15,BRITISH,ACTIVE,6TH RATE FRIGAT,JERSEY,NOVA SCOTIA
1777,4,25,44.52,-27.77,BRITISH,ACTIVE,6TH RATE FRIGAT,JERSEY,NOVA SCOTIA
1777,4,26,45.13,-28.77,BRITISH,ACTIVE,6TH RATE FRIGAT,JERSEY,NOVA SCOTIA
1777,4,27,45.7,-28.12,BRITISH,ACTIVE,6TH RATE FRIGAT,JERSEY,NOVA SCOTIA
1777,4,28,44.98,-28.2,BRITISH,ACTIVE,6TH RATE FRIGAT,JERSEY,NOVA SCOTIA
1777,4,29,45.2,-28.2,BRITISH,ACTIVE,6TH RATE FRIGAT,JERSEY,NOVA SCOTIA
1777,4,30,44.87,-28.52,BRITISH,ACTIVE,6TH RATE FRIGAT,JERSEY,NOVA SCOTIA
1777,5,1,44.52,-28.98,BRITISH,ACTIVE,6TH RATE FRIGAT,JERSEY,NOVA SCOTIA
1777,5,2,43.72,-29.03,BRITISH,ACTIVE,6TH RATE FRIGAT,JERSEY,NOVA SCOTIA
1777,5,3,42.97,-29.58,BRITISH,ACTIVE,6TH RATE FRIGAT,JERSEY,NOVA SCOTIA
1777,5,4,43.58,-31.15,BRITISH,ACTIVE,6TH RATE FRIGAT,JERSEY,NOVA SCOTIA
1777,5,5,44.05,-31.65,BRITISH,ACTIVE,6TH RATE FRIGAT,JERSEY,NOVA SCOTIA
1777,5,6,43.98,-33.62,BRITISH,ACTIVE,6TH RATE FRIGAT,JERSEY,NOVA SCOTIA
1777,5,7,44.5,-36.75,BRITISH,ACTIVE,6TH RATE FRIGAT,JERSEY,NOVA SCOTIA
1777,5,8,44.73,-38.42,BRITISH,ACTIVE,6TH RATE FRIGAT,JERSEY,NOVA SCOTIA
1777,5,9,45.25,-39.78,BRITISH,ACTIVE,6TH RATE FRIGAT,JERSEY,NOVA SCOTIA
1777,5,10,45.42,-41.55,BRITISH,ACTIVE,6TH RATE FRIGAT,JERSEY,NOVA SCOTIA
1777,5,11,46.33,-42.25,BRITISH,ACTIVE,6TH RATE FRIGAT,JERSEY,NOVA SCOTIA
1777,5,12,45.27,-42.25,BRITISH,ACTIVE,6TH RATE FRIGAT,JERSEY,NOVA SCOTIA
1777,5,13,45.3,-49.33,BRITISH,ACTIVE,6TH RATE FRIGAT,JERSEY,NOVA SCOTIA
1777,5,14,45.65,-50.53,BRITISH,ACTIVE,6TH RATE FRIGAT,JERSEY,NOVA SCOTIA
1777,5,15,46.08,-51.68,BRITISH,ACTIVE,6TH RATE FRIGAT,JERSEY,NOVA SCOTIA
1777,5,16,45.72,-52.67,BRITISH,ACTIVE,6TH RATE FRIGAT,JERSEY,NOVA SCOTIA
1777,5,17,45.47,-54.43,BRITISH,ACTIVE,6TH RATE FRIGAT,JERSEY,NOVA SCOTIA
1777,5,18,45.98,-56.27,BRITISH,ACTIVE,6TH RATE FRIGAT,JERSEY,NOVA SCOTIA
1777,5,19,46.4,-57.6,BRITISH,ACTIVE,6TH RATE FRIGAT,JERSEY,NOVA SCOTIA
1777,5,20,46.52,-59.07,BRITISH,ACTIVE,6TH RATE FRIGAT,JERSEY,NOVA SCOTIA
1777,5,21,47,-59.07,BRITISH,ACTIVE,6TH RATE FRIGAT,JERSEY,NOVA SCOTIA
1777,7,7,46.78,-50.55,BRITISH,ACTIVE,6TH RATE FRIGAT,ST JOHNS,CRUISING OFF GRAND BANKS
1777,7,8,46.45,-50.3,BRITISH,ACTIVE,6TH RATE FRIGAT,ST JOHNS,CRUISING OFF GRAND BANKS
1777,7,9,46.22,-50.02,BRITISH,ACTIVE,6TH RATE FRIGAT,ST JOHNS,CRUISING OFF GRAND BANKS
1777,7,10,45.22,-49.42,BRITISH,ACTIVE,6TH RATE FRIGAT,ST JOHNS,CRUISING OFF GRAND BANKS
1777,7,11,44.67,-49.63,BRITISH,ACTIVE,6TH RATE FRIGAT,ST JOHNS,CRUISING OFF GRAND BANKS
1777,7,12,44.33,-50.08,BRITISH,ACTIVE,6TH RATE FRIGAT,ST JOHNS,CRUISING OFF GRAND BANKS
1777,7,13,43.7,-50.72,BRITISH,ACTIVE,6TH RATE FRIGAT,ST JOHNS,CRUISING OFF GRAND BANKS
1777,7,14,44.73,-50.53,BRITISH,ACTIVE,6TH RATE FRIGAT,ST JOHNS,CRUISING OFF GRAND BANKS
1777,7,15,44.7,-51.55,BRITISH,ACTIVE,6TH RATE FRIGAT,ST JOHNS,CRUISING OFF GRAND BANKS
1777,7,16,45.3,-51.1,BRITISH,ACTIVE,6TH RATE FRIGAT,ST JOHNS,CRUISING OFF GRAND BANKS
1777,7,17,45.55,-50.5,BRITISH,ACTIVE,6TH RATE FRIGAT,ST JOHNS,CRUISING OFF GRAND BANKS
1777,7,18,45.6,-51.25,BRITISH,ACTIVE,6TH RATE FRIGAT,ST JOHNS,CRUISING OFF GRAND BANKS
1777,7,19,45.6,-50.97,BRITISH,ACTIVE,6TH RATE FRIGAT,ST JOHNS,CRUISING OFF GRAND BANKS
1777,7,20,45.4,-50.22,BRITISH,ACTIVE,6TH RATE FRIGAT,ST JOHNS,CRUISING OFF GRAND BANKS
1777,7,21,45.45,-49.38,BRITISH,ACTIVE,6TH RATE FRIGAT,ST JOHNS,CRUISING OFF GRAND BANKS
1777,7,22,45.12,-48.8,BRITISH,ACTIVE,6TH RATE FRIGAT,ST JOHNS,CRUISING OFF GRAND BANKS
1777,7,23,44.68,-47.85,BRITISH,ACTIVE,6TH RATE FRIGAT,ST JOHNS,CRUISING OFF GRAND BANKS
1777,7,24,44.98,-47.85,BRITISH,ACTIVE,6TH RATE FRIGAT,ST JOHNS,CRUISING OFF GRAND BANKS
1777,7,25,45.5,-47.85,BRITISH,ACTIVE,6TH RATE FRIGAT,ST JOHNS,CRUISING OFF GRAND BANKS
1777,7,26,45.62,-47.63,BRITISH,ACTIVE,6TH RATE FRIGAT,ST JOHNS,CRUISING OFF GRAND BANKS
1777,7,27,45.97,-47.73,BRITISH,ACTIVE,6TH RATE FRIGAT,ST JOHNS,CRUISING OFF GRAND BANKS
1777,7,28,45.8,-47.27,BRITISH,ACTIVE,6TH RATE FRIGAT,ST JOHNS,CRUISING OFF GRAND BANKS
1777,7,29,45.25,-46.87,BRITISH,ACTIVE,6TH RATE FRIGAT,ST JOHNS,CRUISING OFF GRAND BANKS
1777,7,30,44.52,-46.2,BRITISH,ACTIVE,6TH RATE FRIGAT,ST JOHNS,CRUISING OFF GRAND BANKS
1777,7,31,44.95,-47.22,BRITISH,ACTIVE,6TH RATE FRIGAT,ST JOHNS,CRUISING OFF GRAND BANKS
1777,8,1,45.65,-47.72,BRITISH,ACTIVE,6TH RATE FRIGAT,ST JOHNS,CRUISING OFF GRAND BANKS
1777,8,2,45.93,-47.57,BRITISH,ACTIVE,6TH RATE FRIGAT,ST JOHNS,CRUISING OFF GRAND BANKS
1777,8,3,46.17,-48.33,BRITISH,ACTIVE,6TH RATE FRIGAT,ST JOHNS,CRUISING OFF GRAND BANKS
1777,8,4,46.02,-50.12,BRITISH,ACTIVE,6TH RATE FRIGAT,ST JOHNS,CRUISING OFF GRAND BANKS
1777,8,5,45.65,-49.78,BRITISH,ACTIVE,6TH RATE FRIGAT,ST JOHNS,CRUISING OFF GRAND BANKS
1777,8,6,45.77,-50.08,BRITISH,ACTIVE,6TH RATE FRIGAT,ST JOHNS,CRUISING OFF GRAND BANKS
1777,8,7,46.17,-50.08,BRITISH,ACTIVE,6TH RATE FRIGAT,ST JOHNS,CRUISING OFF GRAND BANKS
1777,8,8,46.5,-50.58,BRITISH,ACTIVE,6TH RATE FRIGAT,ST JOHNS,CRUISING OFF GRAND BANKS
1777,8,9,44.62,-51.25,BRITISH,ACTIVE,6TH RATE FRIGAT,ST JOHNS,CRUISING OFF GRAND BANKS
1777,8,10,44.9,-52.58,BRITISH,ACTIVE,6TH RATE FRIGAT,ST JOHNS,CRUISING OFF GRAND BANKS
1777,8,11,45.6,-49,BRITISH,ACTIVE,6TH RATE FRIGAT,ST JOHNS,CRUISING OFF GRAND BANKS
1777,8,12,46,-47.95,BRITISH,ACTIVE,6TH RATE FRIGAT,ST JOHNS,CRUISING OFF GRAND BANKS
1777,8,13,44.43,-49.33,BRITISH,ACTIVE,6TH RATE FRIGAT,ST JOHNS,CRUISING OFF GRAND BANKS
1777,8,14,44.03,-49.68,BRITISH,ACTIVE,6TH RATE FRIGAT,ST JOHNS,CRUISING OFF GRAND BANKS
1777,8,15,43.23,-50.15,BRITISH,ACTIVE,6TH RATE FRIGAT,ST JOHNS,CRUISING OFF GRAND BANKS
1777,8,16,44.65,-51.58,BRITISH,ACTIVE,6TH RATE FRIGAT,ST JOHNS,CRUISING OFF GRAND BANKS
1777,8,17,45,-51.53,BRITISH,ACTIVE,6TH RATE FRIGAT,ST JOHNS,CRUISING OFF GRAND BANKS
1777,8,18,45.2,-51.77,BRITISH,ACTIVE,6TH RATE FRIGAT,ST JOHNS,CRUISING OFF GRAND BANKS
1777,8,19,45.03,-51.82,BRITISH,ACTIVE,6TH RATE FRIGAT,ST JOHNS,CRUISING OFF GRAND BANKS
1777,8,20,44.75,-51.57,BRITISH,ACTIVE,6TH RATE FRIGAT,ST JOHNS,CRUISING OFF GRAND BANKS
1777,8,21,45.42,-51,BRITISH,ACTIVE,6TH RATE FRIGAT,ST JOHNS,CRUISING OFF GRAND BANKS
1777,8,22,46.55,-50.75,BRITISH,ACTIVE,6TH RATE FRIGAT,ST JOHNS,CRUISING OFF GRAND BANKS
1777,9,8,47.47,-50.78,BRITISH,ACTIVE,6TH RATE FRIGAT,"ST JOHNS, NEWFOUNDLAND",SPITHEAD
1777,9,9,47.58,-48.27,BRITISH,ACTIVE,6TH RATE FRIGAT,"ST JOHNS, NEWFOUNDLAND",SPITHEAD
1777,9,10,46.18,-47.42,BRITISH,ACTIVE,6TH RATE FRIGAT,"ST JOHNS, NEWFOUNDLAND",SPITHEAD
1777,9,11,45.85,-46.08,BRITISH,ACTIVE,6TH RATE FRIGAT,"ST JOHNS, NEWFOUNDLAND",SPITHEAD
1777,9,12,45.5,-44.55,BRITISH,ACTIVE,6TH RATE FRIGAT,"ST JOHNS, NEWFOUNDLAND",SPITHEAD
1777,9,13,45.67,-43.68,BRITISH,ACTIVE,6TH RATE FRIGAT,"ST JOHNS, NEWFOUNDLAND",SPITHEAD
1777,9,14,45.67,-43.08,BRITISH,ACTIVE,6TH RATE FRIGAT,"ST JOHNS, NEWFOUNDLAND",SPITHEAD
1777,9,15,46.75,-42.52,BRITISH,ACTIVE,6TH RATE FRIGAT,"ST JOHNS, NEWFOUNDLAND",SPITHEAD
1777,9,16,46.55,-44.7,BRITISH,ACTIVE,6TH RATE FRIGAT,"ST JOHNS, NEWFOUNDLAND",SPITHEAD
1777,9,17,47.18,-46.17,BRITISH,ACTIVE,6TH RATE FRIGAT,"ST JOHNS, NEWFOUNDLAND",SPITHEAD
1777,9,18,46.85,-45.63,BRITISH,ACTIVE,6TH RATE FRIGAT,"ST JOHNS, NEWFOUNDLAND",SPITHEAD
1777,9,19,46.03,-48.4,BRITISH,ACTIVE,6TH RATE FRIGAT,"ST JOHNS, NEWFOUNDLAND",SPITHEAD
1777,9,20,45.57,-51.07,BRITISH,ACTIVE,6TH RATE FRIGAT,"ST JOHNS, NEWFOUNDLAND",SPITHEAD
1777,9,21,46.02,-49.23,BRITISH,ACTIVE,6TH RATE FRIGAT,"ST JOHNS, NEWFOUNDLAND",SPITHEAD
1777,9,22,46.67,-49.58,BRITISH,ACTIVE,6TH RATE FRIGAT,"ST JOHNS, NEWFOUNDLAND",SPITHEAD
1777,9,23,46.6,-49.58,BRITISH,ACTIVE,6TH RATE FRIGAT,"ST JOHNS, NEWFOUNDLAND",SPITHEAD
1777,9,24,45.35,-49.43,BRITISH,ACTIVE,6TH RATE FRIGAT,"ST JOHNS, NEWFOUNDLAND",SPITHEAD
1777,9,25,44.12,-49.43,BRITISH,ACTIVE,6TH RATE FRIGAT,"ST JOHNS, NEWFOUNDLAND",SPITHEAD
1777,9,26,44.8,-48.95,BRITISH,ACTIVE,6TH RATE FRIGAT,"ST JOHNS, NEWFOUNDLAND",SPITHEAD
1777,9,27,44.45,-48.88,BRITISH,ACTIVE,6TH RATE FRIGAT,"ST JOHNS, NEWFOUNDLAND",SPITHEAD
1777,9,28,45,-48.67,BRITISH,ACTIVE,6TH RATE FRIGAT,"ST JOHNS, NEWFOUNDLAND",SPITHEAD
1777,9,29,44.62,-45.6,BRITISH,ACTIVE,6TH RATE FRIGAT,"ST JOHNS, NEWFOUNDLAND",SPITHEAD
1777,9,30,44.33,-42.93,BRITISH,ACTIVE,6TH RATE FRIGAT,"ST JOHNS, NEWFOUNDLAND",SPITHEAD
1777,10,1,43.8,-44.37,BRITISH,ACTIVE,6TH RATE FRIGAT,"ST JOHNS, NEWFOUNDLAND",SPITHEAD
1777,10,2,44.25,-43.85,BRITISH,ACTIVE,6TH RATE FRIGAT,"ST JOHNS, NEWFOUNDLAND",SPITHEAD
1777,10,3,44.1,-41,BRITISH,ACTIVE,6TH RATE FRIGAT,"ST JOHNS, NEWFOUNDLAND",SPITHEAD
1777,10,4,43.98,-39.92,BRITISH,ACTIVE,6TH RATE FRIGAT,"ST JOHNS, NEWFOUNDLAND",SPITHEAD
1777,10,5,43.05,-40.45,BRITISH,ACTIVE,6TH RATE FRIGAT,"ST JOHNS, NEWFOUNDLAND",SPITHEAD
1777,10,6,42.6,-39.7,BRITISH,ACTIVE,6TH RATE FRIGAT,"ST JOHNS, NEWFOUNDLAND",SPITHEAD
1777,10,7,42.8,-39.18,BRITISH,ACTIVE,6TH RATE FRIGAT,"ST JOHNS, NEWFOUNDLAND",SPITHEAD
1777,10,8,43.43,-38.77,BRITISH,ACTIVE,6TH RATE FRIGAT,"ST JOHNS, NEWFOUNDLAND",SPITHEAD
1777,10,9,44.3,-38.82,BRITISH,ACTIVE,6TH RATE FRIGAT,"ST JOHNS, NEWFOUNDLAND",SPITHEAD
1777,10,10,44.55,-37.23,BRITISH,ACTIVE,6TH RATE FRIGAT,"ST JOHNS, NEWFOUNDLAND",SPITHEAD
1777,10,11,45.3,-33.63,BRITISH,ACTIVE,6TH RATE FRIGAT,"ST JOHNS, NEWFOUNDLAND",SPITHEAD
1777,10,12,46.17,-29.32,BRITISH,ACTIVE,6TH RATE FRIGAT,"ST JOHNS, NEWFOUNDLAND",SPITHEAD
1777,10,13,46.17,-27.15,BRITISH,ACTIVE,6TH RATE FRIGAT,"ST JOHNS, NEWFOUNDLAND",SPITHEAD
1777,10,14,47.1,-23.83,BRITISH,ACTIVE,6TH RATE FRIGAT,"ST JOHNS, NEWFOUNDLAND",SPITHEAD
1777,10,15,46.95,-22.75,BRITISH,ACTIVE,6TH RATE FRIGAT,"ST JOHNS, NEWFOUNDLAND",SPITHEAD
1777,10,16,48.43,-19.57,BRITISH,ACTIVE,6TH RATE FRIGAT,"ST JOHNS, NEWFOUNDLAND",SPITHEAD
1777,10,17,49.13,-15.78,BRITISH,ACTIVE,6TH RATE FRIGAT,"ST JOHNS, NEWFOUNDLAND",SPITHEAD
1777,10,18,49.55,-11.73,BRITISH,ACTIVE,6TH RATE FRIGAT,"ST JOHNS, NEWFOUNDLAND",SPITHEAD
1777,10,19,49.88,-9.02,BRITISH,ACTIVE,6TH RATE FRIGAT,"ST JOHNS, NEWFOUNDLAND",SPITHEAD
1777,10,20,48.93,-10.18,BRITISH,ACTIVE,6TH RATE FRIGAT,"ST JOHNS, NEWFOUNDLAND",SPITHEAD
1777,10,21,48.9,-11.38,BRITISH,ACTIVE,6TH RATE FRIGAT,"ST JOHNS, NEWFOUNDLAND",SPITHEAD
1777,10,22,48.58,-11.65,BRITISH,ACTIVE,6TH RATE FRIGAT,"ST JOHNS, NEWFOUNDLAND",SPITHEAD
1777,10,23,48.52,-10.33,BRITISH,ACTIVE,6TH RATE FRIGAT,"ST JOHNS, NEWFOUNDLAND",SPITHEAD
1762,7,4,35.93,-15.54,BRITISH,ACTIVE,FRIGATE,GIBRALTAR,SPITHEAD
1762,7,5,36.02,-15.86,BRITISH,ACTIVE,FRIGATE,GIBRALTAR,SPITHEAD
1762,7,6,36.02,-17.06,BRITISH,ACTIVE,FRIGATE,GIBRALTAR,SPITHEAD
1762,7,7,36.42,-17.82,BRITISH,ACTIVE,FRIGATE,GIBRALTAR,SPITHEAD
1762,7,8,37.03,-18.84,BRITISH,ACTIVE,FRIGATE,GIBRALTAR,SPITHEAD
1762,7,9,38,-19.41,BRITISH,ACTIVE,FRIGATE,GIBRALTAR,SPITHEAD
1762,7,10,39.05,-19.56,BRITISH,ACTIVE,FRIGATE,GIBRALTAR,SPITHEAD
1762,7,11,40.08,-19.56,BRITISH,ACTIVE,FRIGATE,GIBRALTAR,SPITHEAD
1762,7,12,40.52,-19.91,BRITISH,ACTIVE,FRIGATE,GIBRALTAR,SPITHEAD
1762,7,13,40.77,-19.86,BRITISH,ACTIVE,FRIGATE,GIBRALTAR,SPITHEAD
1762,7,14,40.73,-20.59,BRITISH,ACTIVE,FRIGATE,GIBRALTAR,SPITHEAD
1762,7,15,41.25,-19.56,BRITISH,ACTIVE,FRIGATE,GIBRALTAR,SPITHEAD
1762,7,16,42.12,-18.91,BRITISH,ACTIVE,FRIGATE,GIBRALTAR,SPITHEAD
1795,7,21,18.77,-62.07,BRITISH,ADAMANT,4TH RATE,ST PIERRE BAY MARTINICO,ST JOHNS NEWFOUNDLAND
1795,7,22,21.1,-62.07,BRITISH,ADAMANT,4TH RATE,ST PIERRE BAY MARTINICO,ST JOHNS NEWFOUNDLAND
1795,7,23,23.1,-62.23,BRITISH,ADAMANT,4TH RATE,ST PIERRE BAY MARTINICO,ST JOHNS NEWFOUNDLAND
