FUEL_CONSUMP,CARGO_CAPACITY,ENGINE_POWER,HAS_DUAL_PROP,NOX_EMISSIONS,CREW_SIZE,AGE_YEARS,PORT_DISTANCE,NAV_EQUIP_LEVEL,REG_FEES,MAINT_CREW_RATIO,PAINT_COVERAGE,RUST_AREA_PERCENT,MAINT_COST
12.37,41.8,10.76,0,1.4,27.0,23.1,138.0,4,15.24,0.19,97.1,-1.22,90.82
33.24,40.2,30.74,0,5.64,27.0,27.2,277.7,7,4.15,0.19,93.0,2.86,157.53
26.15,41.3,16.3,1,5.22,22.0,16.4,117.9,3,12.44,0.19,76.5,11.19,151.1
23.23,57.9,23.19,0,7.22,28.0,3.2,107.3,2,23.93,0.26,76.8,8.95,154.64
36.12,41.6,19.4,1,5.92,26.0,10.0,154.3,10,16.49,0.19,96.2,7.58,158.31
40.31,55.8,18.53,0,8.44,17.0,32.0,209.0,2,18.47,0.19,66.2,17.58,225.35
39.31,91.5,30.8,0,5.16,29.0,14.3,263.9,1,14.55,0.15,83.5,17.57,218.67
21.61,67.4,22.66,1,4.84,30.0,-18.2,182.9,5,13.88,0.27,89.4,13.05,81.72
26.91,43.5,26.73,1,4.72,29.0,0.3,86.5,6,5.66,0.13,67.5,12.84,131.82
33.31,74.0,24.77,0,4.34,25.0,10.8,248.5,6,18.97,0.17,87.3,6.0,144.39
39.76,41.8,27.39,1,1.69,20.0,25.4,149.0,9,20.4,0.28,94.5,6.84,203.21
25.21,9.2,25.38,1,4.67,13.0,12.3,108.1,4,10.25,0.22,70.1,0.05,123.73
28.14,29.8,18.59,1,1.9,26.0,25.5,96.0,1,14.11,0.2,101.6,10.24,183.06
18.94,12.6,29.98,1,5.68,30.0,9.7,191.8,6,13.43,0.2,74.9,17.5,174.59
18.04,43.0,22.53,1,3.14,30.0,-4.6,161.9,5,17.1,0.15,90.7,21.48,142.82
38.13,50.4,17.22,0,3.66,29.0,10.1,167.3,10,12.28,0.2,84.2,10.29,158.92
43.56,83.5,22.86,0,4.0,25.0,18.4,214.3,6,19.66,0.18,85.7,15.44,199.65
29.28,56.5,32.5,1,4.69,30.0,17.6,109.9,3,15.36,0.21,72.2,-7.99,136.25
40.04,45.6,29.25,0,5.01,30.0,2.4,218.3,2,2.25,0.12,97.6,8.97,139.11
33.62,66.6,23.26,0,6.63,23.0,11.5,124.0,6,17.21,0.22,88.3,8.81,145.27
23.55,5.8,23.25,1,4.13,28.0,41.8,258.2,1,19.98,0.25,101.2,22.44,253.5
33.61,54.7,23.39,0,5.72,22.0,2.7,179.9,7,9.24,0.19,72.4,14.75,129.24
45.38,65.4,35.38,1,9.1,28.0,21.6,104.0,7,17.04,0.23,83.2,15.46,250.89
29.64,20.4,26.91,1,5.57,19.0,-6.0,48.7,10,24.15,0.22,87.1,15.1,156.67
45.65,72.9,27.15,0,4.73,19.0,23.6,190.4,7,15.56,0.17,85.6,12.32,213.64
3.8,56.8,30.15,1,3.83,30.0,6.1,131.3,10,20.71,0.15,91.7,22.73,146.74
38.22,41.7,26.19,1,4.71,30.0,19.0,142.2,1,12.79,0.15,83.1,-4.14,140.13
30.87,62.7,23.7,1,3.67,28.0,2.1,188.3,4,14.91,0.21,106.2,13.02,152.32
27.01,95.4,24.02,1,5.4,25.0,17.9,200.5,7,13.98,0.2,85.4,19.91,193.72
30.92,53.6,24.64,1,5.16,13.0,5.9,211.2,9,13.06,0.26,56.2,-1.24,91.7
10.12,55.0,24.81,0,1.76,25.0,7.8,91.3,5,14.26,0.24,85.8,17.87,127.76
27.8,40.8,28.64,0,4.97,27.0,19.4,221.3,2,6.85,0.24,97.6,6.67,152.4
33.57,33.0,25.26,1,6.61,22.0,10.7,121.0,7,13.35,0.21,75.8,12.77,156.89
44.78,66.6,28.66,1,4.4,21.0,18.8,37.2,10,21.69,0.15,75.1,6.54,209.69
24.82,32.9,24.6,0,4.02,32.0,13.1,91.1,1,10.18,0.22,76.6,18.71,180.21
21.92,51.4,25.39,1,2.93,25.0,15.7,160.9,7,9.67,0.2,74.2,9.98,143.82
24.98,40.4,15.01,0,2.21,27.0,19.5,101.1,6,15.31,0.14,80.2,17.92,188.74
39.15,59.6,29.58,1,6.25,29.0,11.5,145.6,7,15.56,0.26,94.1,15.05,207.11
33.29,56.7,26.73,1,4.73,20.0,5.0,166.9,10,16.89,0.26,100.3,6.44,146.11
24.7,70.8,29.99,1,6.16,26.0,9.7,140.9,3,14.43,0.14,60.8,15.51,171.0
35.13,39.8,10.52,1,7.3,32.0,27.0,125.3,3,15.36,0.17,81.2,7.36,174.77
30.97,44.6,35.44,1,6.38,34.0,16.2,87.5,7,13.25,0.17,88.0,12.45,188.58
39.69,30.4,24.3,1,4.19,25.0,6.6,151.1,2,8.62,0.23,87.0,9.85,144.2
22.98,41.1,30.54,1,5.22,24.0,19.0,46.8,1,14.64,0.22,104.0,18.3,210.94
26.72,57.5,19.8,0,4.08,26.0,19.7,115.7,9,18.62,0.2,64.9,15.78,176.99
26.08,65.1,28.06,0,3.94,26.0,20.2,103.6,9,17.58,0.21,59.1,11.78,179.39
15.36,31.6,19.73,0,5.51,32.0,5.2,138.0,7,6.28,0.14,105.6,7.2,91.89
32.96,67.4,21.88,1,3.75,20.0,8.2,139.3,7,16.26,0.22,92.5,3.12,130.12
32.61,77.1,34.57,1,1.69,24.0,8.2,198.0,3,10.54,0.19,79.3,12.95,201.7
30.05,58.3,24.05,1,3.67,19.0,11.4,229.2,10,21.96,0.17,86.7,7.57,148.65
27.65,87.5,26.09,1,4.54,20.0,20.4,94.1,2,16.63,0.12,87.4,-1.15,156.25
15.85,34.5,29.35,1,7.28,27.0,18.0,249.6,7,19.48,0.2,79.0,2.69,140.77
25.79,25.1,27.48,1,4.26,29.0,18.8,111.0,9,15.11,0.22,86.4,23.38,220.81
26.57,14.4,25.75,1,5.77,22.0,28.5,158.6,1,14.67,0.11,88.5,7.38,193.01
21.98,79.9,26.82,0,4.75,29.0,21.9,175.5,4,22.48,0.2,105.2,19.58,207.4
28.39,63.1,37.02,1,6.84,31.0,13.6,272.2,6,19.86,0.21,94.6,9.5,179.55
34.04,48.9,24.71,0,6.74,35.0,3.2,122.9,7,15.59,0.17,102.4,20.68,180.38
48.86,55.6,26.01,0,6.76,25.0,7.9,60.2,10,14.0,0.22,71.6,20.17,205.79
31.75,27.5,30.25,1,2.4,22.0,12.4,224.5,7,6.46,0.19,81.5,6.22,168.49
32.58,98.9,30.53,1,5.31,20.0,23.3,108.3,10,16.62,0.21,87.4,-1.92,143.12
29.26,52.6,30.94,0,6.14,19.0,14.7,131.9,2,14.37,0.23,65.8,-1.32,112.62
10.81,52.2,28.19,0,5.57,31.0,8.4,94.1,4,17.77,0.23,96.8,6.34,102.09
29.73,64.5,19.28,1,5.95,17.0,7.7,132.1,5,19.29,0.25,91.4,25.23,182.67
30.6,59.6,33.17,1,5.09,31.0,14.3,108.0,1,21.16,0.22,81.3,9.13,190.35
54.63,54.5,19.27,0,3.88,21.0,23.9,183.8,1,16.68,0.18,83.2,13.02,226.72
28.08,34.2,26.51,1,2.45,22.0,30.9,154.0,10,9.77,0.17,97.5,21.12,218.79
33.02,59.4,21.23,1,4.03,24.0,12.9,115.9,3,4.25,0.15,77.0,12.77,160.08
29.65,87.6,24.68,1,9.02,21.0,14.6,199.8,10,10.88,0.21,97.9,12.53,156.1
18.31,76.9,26.64,0,4.27,30.0,2.9,162.7,3,21.67,0.27,82.5,16.36,140.75
41.43,81.9,26.61,0,2.06,34.0,34.4,57.7,8,24.12,0.18,92.6,14.02,251.86
37.52,39.8,27.11,0,6.1,22.0,1.0,196.0,9,13.81,0.22,85.9,11.3,160.0
37.91,30.2,33.07,1,6.28,23.0,26.7,159.2,1,7.7,0.16,107.3,6.95,190.23
20.91,47.5,27.27,1,6.93,24.0,11.3,219.5,2,11.76,0.21,76.1,12.55,169.45
44.03,51.1,23.78,0,5.71,28.0,9.0,156.2,10,20.69,0.26,79.3,19.66,215.91
15.98,71.9,29.82,0,6.27,24.0,3.9,110.4,2,12.04,0.23,69.9,24.47,180.92
35.87,16.2,30.95,0,7.76,32.0,39.1,139.8,4,17.95,0.12,74.0,14.05,242.24
51.9,80.6,18.86,1,3.88,31.0,17.2,190.2,2,15.84,0.23,92.1,17.29,238.3
20.09,46.8,27.99,0,3.58,19.0,15.2,111.5,7,18.55,0.23,101.0,13.89,185.64
24.34,41.5,28.51,0,3.36,28.0,23.9,128.0,9,24.09,0.21,93.3,11.39,186.66
31.0,29.8,23.51,1,4.6,33.0,8.5,138.9,7,17.95,0.23,84.9,15.6,176.42
24.97,16.9,31.88,1,7.15,23.0,15.0,92.5,6,15.73,0.16,76.1,20.33,189.45
14.49,66.5,24.25,1,5.79,24.0,15.6,112.2,10,24.64,0.2,94.0,5.8,129.63
30.69,51.5,25.63,0,5.73,22.0,9.9,158.6,1,16.75,0.26,75.5,1.84,118.54
19.38,24.2,24.13,1,2.27,22.0,27.0,210.1,10,11.04,0.25,71.5,8.27,155.76
34.74,24.1,25.08,1,3.96,17.0,12.8,165.9,9,18.44,0.23,81.9,13.48,182.93
20.81,43.3,19.52,0,2.25,18.0,-0.5,147.7,5,17.24,0.16,64.7,18.09,126.46
45.5,83.4,17.8,1,6.76,25.0,12.0,108.4,5,13.46,0.15,71.2,5.07,162.22
22.17,44.8,32.97,0,7.38,33.0,17.5,204.8,6,12.41,0.21,103.9,-5.42,123.12
26.78,19.9,20.77,0,6.17,22.0,6.1,171.7,9,13.51,0.21,69.3,8.43,122.39
38.14,45.1,20.04,1,3.52,22.0,6.9,114.7,8,12.34,0.19,73.1,10.64,154.69
17.69,44.5,14.23,1,7.22,34.0,9.5,194.9,8,13.67,0.16,85.7,3.86,104.58
32.27,-3.9,21.81,1,4.62,19.0,27.2,178.0,8,10.79,0.22,86.2,6.71,171.29
43.07,48.9,18.38,1,3.18,17.0,10.1,109.3,1,16.93,0.21,82.7,18.07,183.41
13.93,45.4,33.21,1,3.55,21.0,29.3,144.9,1,16.56,0.21,65.0,12.55,189.9
31.85,63.9,30.05,1,4.35,22.0,8.9,125.4,8,16.73,0.23,93.5,14.42,171.62
32.6,87.0,21.56,0,5.07,16.0,18.3,281.7,5,14.69,0.19,80.6,9.51,150.93
37.82,72.5,36.26,0,4.76,24.0,10.5,176.6,9,14.11,0.18,97.2,6.72,173.45
17.63,44.6,29.91,1,2.88,30.0,22.5,159.3,2,22.21,0.26,78.6,9.46,184.2
16.8,27.9,23.38,0,6.82,19.0,3.8,173.6,9,15.34,0.16,94.8,15.49,143.28
35.22,101.5,12.5,1,4.77,25.0,22.4,219.0,8,21.32,0.18,98.0,1.56,145.89
32.97,51.2,36.45,0,3.93,27.0,16.1,145.8,9,10.02,0.26,80.3,23.55,214.76
32.5,50.3,18.05,0,6.67,25.0,8.6,120.5,4,17.95,0.17,93.8,16.02,168.42
33.46,49.5,16.77,0,3.22,26.0,13.3,192.2,1,11.33,0.2,71.7,8.25,140.97
23.2,54.0,30.11,1,2.56,26.0,30.3,141.3,1,12.22,0.18,87.6,17.69,220.53
32.32,47.1,37.2,0,6.91,21.0,16.4,96.5,5,12.94,0.11,97.2,20.56,216.02
32.93,38.5,31.92,1,7.84,32.0,8.0,86.8,2,12.63,0.19,90.2,9.69,171.19
22.86,39.1,27.82,0,4.31,31.0,3.0,226.5,8,12.65,0.15,109.1,10.48,147.86
48.66,49.3,27.97,0,4.93,31.0,20.1,156.6,10,21.09,0.21,90.7,22.45,257.13
34.74,39.1,29.27,0,3.28,30.0,17.0,120.5,5,15.23,0.26,81.3,26.83,233.49
18.09,35.7,28.79,0,5.01,17.0,22.0,138.3,5,16.13,0.09,113.4,12.21,165.01
36.57,52.1,26.41,0,4.29,30.0,0.4,190.4,2,12.71,0.18,101.3,3.89,125.49
20.25,44.9,25.52,1,4.85,28.0,3.3,135.3,7,19.28,0.22,69.0,8.71,121.37
37.87,80.1,24.69,1,5.61,17.0,26.5,77.5,8,16.78,0.09,77.2,19.23,209.75
41.59,-3.0,21.23,0,3.35,24.0,18.3,166.3,10,13.46,0.27,74.6,4.79,168.93
21.79,71.8,23.6,0,4.46,26.0,20.3,210.4,1,7.08,0.22,91.5,10.54,165.54
39.63,74.9,16.54,0,2.29,33.0,5.4,207.1,2,16.08,0.25,90.7,14.05,161.52
34.13,8.5,24.51,0,4.47,29.0,5.2,122.0,10,17.88,0.17,90.6,5.54,155.88
38.22,43.1,20.06,1,4.86,21.0,24.9,213.5,4,10.11,0.18,68.7,19.68,214.09
48.97,42.6,19.48,0,5.34,33.0,25.4,160.6,5,13.52,0.19,78.6,16.86,208.69
27.55,21.8,25.9,1,5.36,25.0,4.1,212.1,2,17.69,0.31,83.5,26.07,203.19
22.46,34.4,31.96,0,6.36,24.0,2.2,178.7,1,7.15,0.27,66.8,17.47,143.21
21.1,27.8,29.59,1,2.69,23.0,13.9,73.9,9,11.76,0.21,76.3,5.27,149.12
21.84,85.0,17.15,0,2.77,17.0,7.0,237.3,1,16.88,0.21,98.6,15.71,127.07
29.23,68.7,20.05,0,5.79,24.0,6.8,152.6,4,20.53,0.23,69.5,18.92,174.92
33.41,75.4,29.7,1,1.94,27.0,2.5,178.8,2,25.93,0.32,99.6,19.28,185.02
32.77,64.4,20.09,0,5.27,23.0,10.3,82.8,4,24.79,0.22,95.9,6.56,151.85
38.27,27.4,23.88,0,3.23,27.0,3.5,175.3,8,15.72,0.2,82.1,5.73,147.14
30.13,39.5,27.75,0,7.36,21.0,4.0,205.1,8,12.58,0.18,78.5,4.02,126.98
44.54,59.8,20.16,1,5.38,24.0,18.0,246.8,9,19.62,0.21,93.3,23.23,234.01
27.35,25.6,25.53,0,4.67,27.0,14.4,220.0,5,12.28,0.17,77.1,16.36,161.54
57.2,64.3,18.33,0,6.84,26.0,19.8,177.7,7,11.19,0.22,77.6,6.25,197.64
36.26,45.2,21.99,1,3.4,17.0,-1.5,72.8,3,13.47,0.13,84.8,12.89,153.73
21.43,42.5,26.6,1,3.69,23.0,15.1,156.6,10,12.85,0.19,63.7,11.13,146.58
19.29,64.2,17.04,1,3.11,33.0,35.8,120.4,4,17.06,0.24,70.5,5.19,166.15
34.82,58.9,27.2,0,3.7,23.0,11.3,161.7,10,11.99,0.22,81.8,12.25,178.45
27.77,42.8,24.9,0,5.09,25.0,23.2,89.2,9,15.43,0.18,89.8,13.33,183.77
37.14,73.2,27.76,0,5.74,25.0,23.2,139.5,10,22.97,0.19,77.0,25.52,238.75
34.73,28.4,26.12,1,6.44,33.0,23.7,124.1,10,15.61,0.25,83.0,7.41,192.9
29.27,62.3,31.82,0,2.26,31.0,16.7,122.6,1,22.58,0.14,68.9,0.03,147.27
21.53,61.9,25.63,0,4.74,29.0,20.7,123.1,2,21.01,0.14,94.3,4.66,155.55
14.85,43.8,22.85,1,3.34,20.0,22.0,143.2,5,17.96,0.15,87.2,5.75,139.77
25.53,56.5,25.61,1,4.69,27.0,21.4,164.3,3,13.23,0.2,88.1,9.01,167.31
38.56,25.0,27.72,1,8.5,28.0,3.8,25.1,2,20.2,0.13,89.9,4.67,163.02
32.14,68.5,25.24,1,5.44,22.0,-2.1,31.2,1,13.75,0.25,85.8,17.75,132.61
17.54,46.3,25.2,1,6.35,21.0,-0.5,133.1,10,14.99,0.15,80.2,4.19,104.16
31.73,39.5,21.49,0,7.94,34.0,12.3,140.1,3,16.65,0.21,96.3,12.14,177.51
33.85,71.0,21.69,1,6.69,23.0,20.9,159.5,1,14.97,0.17,86.6,26.0,221.85
21.16,35.9,17.99,0,4.33,33.0,4.0,113.6,1,11.4,0.2,83.3,15.87,146.22
31.54,21.8,33.75,0,3.09,30.0,24.2,150.5,1,7.36,0.12,84.9,15.16,194.46
30.58,18.9,18.78,1,4.95,27.0,10.0,156.3,8,19.8,0.25,84.7,25.0,195.11
18.57,62.1,21.54,1,4.15,27.0,10.1,113.3,3,17.85,0.15,83.2,20.72,164.66
33.58,24.4,21.41,1,2.71,18.0,6.6,200.7,1,6.4,0.15,89.5,15.96,167.05
35.61,85.1,29.47,0,5.36,26.0,-3.8,158.8,7,11.27,0.32,75.6,9.82,117.46
40.83,8.4,23.53,1,5.4,32.0,17.3,177.3,10,15.9,0.23,76.4,11.84,212.9
40.54,83.9,31.24,1,7.65,28.0,32.1,153.4,3,17.21,0.25,90.6,11.5,230.16
16.22,54.2,21.63,1,4.46,26.0,14.4,255.2,8,7.41,0.22,83.5,9.19,138.22
20.62,48.1,26.39,1,5.42,34.0,-3.5,179.8,4,14.55,0.18,94.7,13.48,137.88
35.15,39.1,20.82,1,4.0,24.0,22.8,125.6,4,17.7,0.13,89.1,14.46,202.9
35.14,58.0,35.73,0,6.31,22.0,-1.2,191.0,5,13.24,0.19,79.5,3.29,121.29
35.15,49.2,19.06,0,4.81,26.0,2.9,68.1,6,16.28,0.15,90.8,23.42,193.36
68.53,72.1,26.55,0,3.24,29.0,12.6,156.0,7,12.56,0.15,97.0,14.87,226.38
35.71,52.3,28.17,1,4.98,16.0,16.2,166.0,4,19.55,0.12,89.5,10.16,175.49
41.36,53.0,27.07,1,5.59,26.0,4.9,156.6,8,11.0,0.21,91.7,13.55,182.75
39.54,42.7,24.07,1,5.38,29.0,12.2,133.3,6,9.29,0.28,83.3,18.51,198.37
36.51,48.9,24.35,0,6.57,24.0,22.2,99.4,1,15.14,0.23,94.9,1.73,174.29
26.85,56.2,25.22,1,2.83,31.0,23.5,110.5,1,7.83,0.19,79.2,11.26,179.02
37.59,15.8,24.26,1,3.74,28.0,27.5,155.1,9,4.47,0.2,88.4,3.7,168.56
22.27,23.0,29.82,1,5.96,36.0,34.1,94.3,10,20.42,0.05,110.7,30.6,275.36
27.63,64.9,36.05,0,3.91,21.0,23.1,238.5,6,10.08,0.18,90.4,12.97,185.92
25.15,53.4,22.21,1,5.36,29.0,12.8,18.0,10,8.33,0.13,80.8,3.76,122.87
30.82,46.3,18.15,0,1.37,20.0,23.6,133.8,8,10.94,0.21,80.8,37.2,256.07
53.15,50.4,24.56,1,9.07,17.0,19.7,155.5,7,10.72,0.19,84.3,8.25,215.88
11.33,57.0,37.9,0,4.6,15.0,20.1,175.4,6,14.29,0.16,93.5,10.54,153.62
36.86,39.2,20.98,0,6.79,28.0,16.8,104.2,4,9.53,0.21,86.5,11.04,160.97
13.87,34.4,33.2,0,4.49,26.0,5.9,206.7,7,17.49,0.21,78.5,6.06,119.58
25.28,53.9,33.39,1,5.62,23.0,4.7,80.3,9,18.23,0.28,78.5,13.73,168.46
40.89,30.4,22.23,1,7.24,16.0,14.0,121.7,10,8.63,0.23,86.5,-3.48,129.78
30.64,58.2,27.84,0,6.75,22.0,16.5,181.0,10,11.91,0.21,85.4,19.6,206.02
19.22,15.9,33.14,0,4.69,25.0,8.2,202.0,7,12.38,0.15,89.5,4.11,128.86
22.85,70.6,23.1,1,4.8,29.0,19.2,79.8,1,14.17,0.15,94.2,9.09,150.3
36.8,59.5,23.98,1,6.51,25.0,35.8,282.3,10,20.41,0.23,112.3,17.26,240.33
22.7,55.1,22.09,0,8.5,26.0,-2.4,105.1,9,20.7,0.19,70.4,10.57,107.36
32.16,69.7,19.93,1,5.29,23.0,20.8,84.4,4,27.49,0.21,91.9,10.86,201.77
30.46,83.3,21.75,1,7.94,34.0,14.3,175.1,3,3.65,0.25,86.0,4.92,120.88
23.48,70.3,18.88,1,4.64,20.0,19.5,132.6,4,10.38,0.12,66.6,26.67,189.43
51.44,13.2,25.17,1,6.43,22.0,10.7,125.2,4,24.07,0.27,97.5,15.72,210.88
36.34,24.4,21.15,0,6.65,23.0,13.5,179.8,10,6.0,0.25,89.2,4.42,143.29
9.75,37.5,26.17,1,4.39,28.0,16.3,73.6,2,23.96,0.1,93.0,13.25,156.12
31.86,50.5,17.22,1,3.88,20.0,12.0,64.9,1,15.74,0.32,68.0,3.93,131.33
23.38,60.4,26.65,0,6.72,26.0,-0.2,120.1,10,15.92,0.22,82.8,24.06,164.29
38.52,35.5,29.17,0,4.2,26.0,12.7,203.9,1,8.6,0.18,74.2,13.4,181.71
22.07,53.7,15.03,1,3.66,22.0,0.8,122.3,8,12.74,0.23,106.6,5.17,84.79
28.85,34.9,26.87,1,3.97,27.0,21.5,230.0,2,23.74,0.15,96.4,16.88,201.93
35.05,37.8,31.14,1,4.2,20.0,-3.7,210.1,10,14.76,0.23,78.2,10.05,159.26
38.66,21.9,18.95,1,6.28,19.0,25.3,164.1,5,12.78,0.16,69.6,2.98,171.57
18.0,31.5,33.36,0,5.77,25.0,19.3,167.0,4,17.03,0.3,86.9,14.67,186.78
26.65,23.0,27.1,0,6.07,17.0,19.3,164.1,8,14.04,0.2,95.9,14.47,177.63
25.25,30.5,21.47,0,5.63,14.0,-6.6,158.0,2,16.73,0.23,67.6,19.96,132.65
23.47,71.1,24.72,1,4.11,28.0,11.7,131.7,10,10.75,0.16,75.7,12.45,159.94
47.65,31.0,27.79,1,6.05,30.0,26.5,137.5,9,14.61,0.24,73.9,12.75,237.96
34.05,102.6,25.38,1,6.77,23.0,9.8,96.5,7,11.79,0.2,93.7,13.12,177.24
17.39,59.9,27.69,1,5.88,22.0,4.2,39.5,7,5.98,0.13,81.3,23.17,157.94
39.18,53.7,20.4,0,5.67,30.0,8.6,205.2,1,17.41,0.19,81.7,9.83,171.9
51.22,32.8,25.85,0,3.85,19.0,14.3,157.9,2,8.83,0.3,86.7,15.29,175.99
40.32,64.0,17.93,1,5.32,18.0,6.5,150.3,4,14.18,0.24,76.2,16.32,181.06
14.81,38.5,24.44,0,3.77,29.0,27.3,169.9,4,19.63,0.18,70.6,14.45,179.35
25.16,52.4,20.48,1,4.96,25.0,14.4,108.6,3,7.51,0.11,98.7,9.56,150.34
42.67,101.2,21.32,1,2.54,30.0,9.4,99.9,7,18.02,0.16,99.6,12.84,178.44
22.92,48.1,31.18,0,2.55,14.0,2.0,135.8,8,13.5,0.13,86.8,11.34,117.05
34.44,73.0,30.46,1,4.71,18.0,19.8,218.4,2,10.17,0.11,87.5,25.71,232.51
37.75,35.9,28.05,1,4.18,25.0,19.6,91.6,4,25.11,0.24,97.6,8.8,183.48
20.73,49.3,19.54,0,5.16,27.0,7.1,18.6,3,15.0,0.2,86.6,5.61,110.08
29.4,85.4,23.42,1,4.8,29.0,-7.4,123.9,2,12.16,0.29,80.8,11.96,116.82
