Corrosion_Rate,Coastal_Operation,Shipyard_Proximity,Channel_Access,NOx_Emissions,Cabin_Area,Vessel_Age,Port_Distance,Navigation_Aids,Maintenance_Cost,Crew_Ratio,Hull_Strength,Downtime_Percentage,Fuel_Consumption,Vessel_Type
0.01751,0.0,59.6,0,0.499,5.966,30.2,38.5,5,279.0,19.2,393.43,10.13,2.47,Aged
0.00276,75.0,29.5,0,0.428,6.595,21.8,54.0,3,252.0,18.3,395.63,4.32,3.08,Aged
0.00336,75.0,29.5,0,0.428,7.024,15.8,54.0,3,252.0,18.3,395.62,1.98,3.49,Aged
0.01274,0.0,69.1,0,0.448,6.77,2.9,57.2,3,233.0,17.9,385.41,4.84,2.66,Newbuild
0.01415,0.0,69.1,0,0.448,6.169,6.6,57.2,3,233.0,17.9,383.37,5.81,2.53,Mid-life
0.01594,0.0,69.1,0,0.448,6.211,6.5,57.2,3,233.0,17.9,394.46,7.44,2.47,Mid-life
0.01227,0.0,69.1,0,0.448,6.069,40.0,57.2,3,233.0,17.9,389.39,9.55,2.12,Aged
0.01714,0.0,69.1,0,0.448,5.682,33.8,51.0,3,233.0,17.9,396.9,10.21,1.93,Aged
0.01884,0.0,69.1,0,0.448,5.786,33.3,51.0,3,233.0,17.9,396.9,14.15,2.0,Aged
0.02293,0.0,69.1,0,0.448,6.03,85.5,56.9,3,233.0,17.9,392.74,18.8,1.66,Aged
0.02539,0.0,69.1,0,0.448,5.399,95.3,58.7,3,233.0,17.9,396.9,30.81,1.44,Aged
0.02198,0.0,69.1,0,0.448,5.602,62.0,60.9,3,233.0,17.9,396.9,16.2,1.94,Aged
0.00887,21.0,56.4,0,0.439,5.963,45.7,68.1,4,243.0,16.8,395.56,13.45,1.97,Aged
0.00434,21.0,56.4,0,0.439,6.115,63.0,68.1,4,243.0,16.8,393.97,9.43,2.05,Aged
0.00536,21.0,56.4,0,0.439,6.511,21.1,68.1,4,243.0,16.8,396.9,5.28,2.5,Aged
0.00498,21.0,56.4,0,0.439,5.998,21.4,68.1,4,243.0,16.8,396.9,8.43,2.34,Aged
0.00136,75.0,40.0,0,0.41,5.888,47.6,73.2,3,469.0,21.1,396.9,14.8,1.89,Aged
0.00131,90.0,12.2,0,0.403,7.249,21.9,87.0,5,226.0,17.9,395.93,4.81,3.54,Aged
0.00206,85.0,7.4,0,0.41,6.383,35.7,91.9,2,313.0,17.3,396.9,5.77,2.47,Aged
0.00143,100.0,13.2,0,0.411,6.816,40.5,83.2,5,256.0,15.1,392.9,3.95,3.16,Aged
0.01544,25.0,51.3,0,0.453,6.145,29.2,78.1,8,284.0,19.7,390.68,6.86,2.33,Aged
0.01033,25.0,51.3,0,0.453,5.927,47.2,69.3,8,284.0,19.7,396.9,9.22,1.96,Aged
0.01493,25.0,51.3,0,0.453,5.741,66.2,72.3,8,284.0,19.7,395.11,13.15,1.87,Aged
0.01717,25.0,51.3,0,0.453,5.966,93.4,68.2,8,284.0,19.7,378.08,14.44,1.6,Aged
0.01103,25.0,51.3,0,0.453,6.456,67.8,72.3,8,284.0,19.7,396.9,6.73,2.22,Aged
0.01265,25.0,51.3,0,0.453,6.762,43.4,79.8,8,284.0,19.7,395.58,9.5,2.5,Aged
0.00195,17.5,13.8,0,0.416,7.104,59.5,92.2,3,216.0,18.6,393.24,8.05,3.3,Aged
0.00358,80.0,33.7,0,0.398,6.29,17.8,66.1,4,337.0,16.1,396.9,4.67,2.35,Aged
0.00438,80.0,33.7,0,0.398,5.787,31.1,66.1,4,337.0,16.1,396.9,10.24,1.94,Aged
0.00579,12.5,60.7,0,0.409,5.878,21.4,65.0,4,345.0,18.9,396.21,8.1,2.2,Aged
0.01355,12.5,60.7,0,0.409,5.594,36.8,65.0,4,345.0,18.9,396.9,13.09,1.74,Aged
0.01282,12.5,60.7,0,0.409,5.885,33.0,65.0,4,345.0,18.9,396.9,8.79,2.09,Aged
0.00883,0.0,108.1,0,0.413,6.417,6.6,52.9,4,305.0,19.2,383.73,6.72,2.42,Mid-life
0.01588,0.0,108.1,0,0.413,5.961,17.5,52.9,4,305.0,19.2,376.94,9.88,2.17,Aged
0.00916,0.0,108.1,0,0.413,6.065,7.8,52.9,4,305.0,19.2,390.91,5.52,2.28,Mid-life
0.01954,0.0,108.1,0,0.413,6.245,6.2,52.9,4,305.0,19.2,377.17,7.54,2.34,Mid-life
0.0079,0.0,128.3,0,0.437,6.273,6.0,42.5,5,398.0,18.7,394.92,6.78,2.41,Mid-life
0.00951,0.0,128.3,0,0.437,6.286,45.0,45.0,5,398.0,18.7,383.23,8.94,2.14,Aged
0.01015,0.0,128.3,0,0.437,6.279,74.5,40.5,5,398.0,18.7,373.66,11.97,2.0,Aged
0.00871,0.0,128.3,0,0.437,6.14,45.8,40.9,5,398.0,18.7,386.96,10.27,2.08,Aged
0.00565,0.0,128.3,0,0.437,6.232,53.7,50.1,5,398.0,18.7,386.4,12.34,2.12,Aged
0.00839,0.0,128.3,0,0.437,5.874,36.6,45.0,5,398.0,18.7,396.06,9.1,2.03,Aged
0.00411,25.0,48.6,0,0.426,6.727,33.5,54.0,4,281.0,19.0,396.9,5.29,2.8,Aged
0.00446,25.0,48.6,0,0.426,6.619,70.4,54.0,4,281.0,19.0,395.63,7.22,2.39,Aged
0.00366,25.0,48.6,0,0.426,6.302,32.2,54.0,4,281.0,19.0,396.9,6.72,2.48,Aged
0.00355,25.0,48.6,0,0.426,6.167,46.7,54.0,4,281.0,19.0,390.64,7.51,2.29,Aged
0.00506,0.0,44.9,0,0.449,6.389,48.0,47.8,3,247.0,18.5,396.9,9.62,2.39,Aged
0.00574,0.0,44.9,0,0.449,6.63,56.1,44.4,3,247.0,18.5,392.3,6.53,2.66,Aged
0.00519,0.0,44.9,0,0.449,6.015,45.1,44.3,3,247.0,18.5,395.99,12.86,2.25,Aged
0.00715,0.0,44.9,0,0.449,6.121,56.8,37.5,3,247.0,18.5,395.15,8.44,2.22,Aged
0.00566,0.0,34.1,0,0.489,7.007,86.3,34.2,2,270.0,17.8,396.9,5.5,2.36,Aged
0.0053,0.0,34.1,0,0.489,7.079,63.1,34.1,2,270.0,17.8,396.06,5.7,2.87,Aged
0.00468,0.0,34.1,0,0.489,6.417,66.1,30.9,2,270.0,17.8,392.18,8.81,2.26,Aged
0.00393,0.0,34.1,0,0.489,6.405,73.9,30.9,2,270.0,17.8,393.55,8.2,2.2,Aged
0.0042,28.0,150.4,0,0.464,6.442,53.6,36.7,4,270.0,18.2,395.01,8.16,2.29,Aged
0.00288,28.0,150.4,0,0.464,6.211,28.9,36.7,4,270.0,18.2,396.33,6.21,2.5,Aged
0.00429,28.0,150.4,0,0.464,6.249,77.3,36.2,4,270.0,18.2,396.9,10.59,2.06,Aged
0.0122,0.0,28.9,0,0.445,6.625,57.8,35.0,2,276.0,18.0,357.98,6.65,2.84,Aged
0.0115,0.0,28.9,0,0.445,6.163,69.6,35.0,2,276.0,18.0,391.83,11.34,2.14,Aged
0.01208,0.0,28.9,0,0.445,8.069,76.0,35.0,2,276.0,18.0,396.9,4.21,3.87,Aged
0.00819,0.0,28.9,0,0.445,7.82,36.9,35.0,2,276.0,18.0,393.53,3.57,4.38,Aged
0.00686,0.0,28.9,0,0.445,7.416,62.5,35.0,2,276.0,18.0,396.9,6.19,3.32,Aged
0.01487,0.0,85.6,0,0.52,6.727,79.9,27.8,5,384.0,20.9,394.76,9.42,2.75,Aged
0.01143,0.0,85.6,0,0.52,6.781,71.3,28.6,5,384.0,20.9,395.58,7.67,2.65,Aged
0.02288,0.0,85.6,0,0.52,6.405,85.4,27.1,5,384.0,20.9,70.8,10.63,1.86,Aged
0.02116,0.0,85.6,0,0.52,6.137,87.4,27.1,5,384.0,20.9,394.47,13.44,1.93,Aged
0.01396,0.0,85.6,0,0.52,6.167,90.0,24.2,5,384.0,20.9,392.69,12.33,2.01,Aged
0.01326,0.0,85.6,0,0.52,5.851,96.7,21.1,5,384.0,20.9,394.05,16.47,1.95,Aged
0.01712,0.0,85.6,0,0.52,5.836,91.9,22.1,5,384.0,20.9,395.67,18.66,1.95,Aged
0.01312,0.0,85.6,0,0.52,6.127,85.2,21.2,5,384.0,20.9,387.69,14.09,2.04,Aged
0.0128,0.0,85.6,0,0.52,6.474,97.1,24.3,5,384.0,20.9,395.24,12.27,1.98,Aged
0.02636,0.0,85.6,0,0.52,6.229,91.2,25.5,5,384.0,20.9,391.23,15.55,1.94,Aged
0.01079,0.0,85.6,0,0.52,6.195,54.4,27.8,5,384.0,20.9,393.49,13.0,2.17,Aged
0.01008,0.0,100.1,0,0.547,6.715,81.6,26.8,6,432.0,17.8,395.59,10.16,2.28,Aged
0.01233,0.0,100.1,0,0.547,5.913,92.9,23.5,6,432.0,17.8,394.95,16.21,1.88,Aged
0.02221,0.0,100.1,0,0.547,6.092,95.4,25.5,6,432.0,17.8,396.9,17.09,1.87,Aged
0.01423,0.0,100.1,0,0.547,6.254,84.2,22.6,6,432.0,17.8,388.74,10.45,1.85,Aged
0.01713,0.0,100.1,0,0.547,5.928,88.2,24.6,6,432.0,17.8,344.91,15.76,1.83,Aged
0.01316,0.0,100.1,0,0.547,6.176,72.5,27.3,6,432.0,17.8,393.3,12.04,2.12,Aged
0.0151,0.0,100.1,0,0.547,6.021,82.6,27.5,6,432.0,17.8,394.51,10.3,1.92,Aged
0.01306,0.0,100.1,0,0.547,5.872,73.1,24.8,6,432.0,17.8,338.63,15.37,2.04,Aged
0.01448,0.0,100.1,0,0.547,5.731,65.2,27.6,6,432.0,17.8,391.5,13.61,1.93,Aged
0.0069,0.0,256.5,0,0.581,5.87,69.7,22.6,2,188.0,19.1,389.15,14.37,2.2,Aged
0.00717,0.0,256.5,0,0.581,6.004,84.1,22.0,2,188.0,19.1,377.67,14.27,2.03,Aged
0.0093,0.0,256.5,0,0.581,5.961,92.9,20.9,2,188.0,19.1,378.09,17.93,2.05,Aged
0.01504,0.0,256.5,0,0.581,5.856,97.0,19.4,2,188.0,19.1,370.31,25.41,1.73,Aged
0.00985,0.0,256.5,0,0.581,5.879,95.8,20.1,2,188.0,19.1,379.38,17.58,1.88,Aged
0.0169,0.0,256.5,0,0.581,5.986,88.4,19.9,2,188.0,19.1,385.02,14.81,2.14,Aged
0.03874,0.0,256.5,0,0.581,5.613,95.6,17.6,2,188.0,19.1,359.29,27.26,1.57,Aged
0.02592,0.0,218.9,0,0.624,5.693,96.0,17.9,4,437.0,21.2,392.11,17.19,1.62,Aged
0.03254,0.0,218.9,0,0.624,6.431,98.8,18.1,4,437.0,21.2,396.9,15.39,1.8,Aged
0.08812,0.0,218.9,0,0.624,5.637,94.7,19.8,4,437.0,21.2,396.9,18.34,1.43,Aged
0.03401,0.0,218.9,0,0.624,6.458,98.9,21.2,4,437.0,21.2,395.04,12.6,1.92,Aged
0.11929,0.0,218.9,0,0.624,6.326,97.7,22.7,4,437.0,21.2,396.9,12.26,1.96,Aged
0.059,0.0,218.9,0,0.624,6.372,97.9,23.3,4,437.0,21.2,385.76,11.12,2.3,Aged
0.03298,0.0,218.9,0,0.624,5.822,95.4,24.7,4,437.0,21.2,388.69,15.03,1.84,Aged
0.09762,0.0,218.9,0,0.624,5.757,98.4,23.5,4,437.0,21.2,262.76,17.31,1.56,Aged
0.05578,0.0,218.9,0,0.624,6.335,98.2,21.1,4,437.0,21.2,394.67,16.96,1.81,Aged
0.03226,0.0,218.9,0,0.624,5.942,93.5,19.7,4,437.0,21.2,378.25,16.9,1.74,Aged
0.03523,0.0,218.9,0,0.624,6.454,98.4,18.5,4,437.0,21.2,394.08,14.59,1.71,Aged
0.02498,0.0,218.9,0,0.624,5.857,98.2,16.7,4,437.0,21.2,392.04,21.32,1.33,Aged
0.05445,0.0,218.9,0,0.624,6.151,97.9,16.7,4,437.0,21.2,396.9,18.46,1.78,Aged
0.02909,0.0,218.9,0,0.624,6.174,93.6,16.1,4,437.0,21.2,388.08,24.16,1.4,Aged
0.16286,0.0,218.9,0,0.624,5.019,100.0,14.4,4,437.0,21.2,396.9,34.41,1.44,Aged
0.33211,0.0,195.8,1,0.871,5.403,100.0,13.2,5,403.0,14.7,396.9,26.82,1.34,Aged
0.40974,0.0,195.8,0,0.871,5.468,100.0,14.1,5,403.0,14.7,396.9,26.42,1.56,Aged
0.27797,0.0,195.8,0,0.871,4.903,97.8,13.5,5,403.0,14.7,396.9,29.29,1.18,Aged
0.23793,0.0,195.8,0,0.871,6.13,100.0,14.2,5,403.0,14.7,172.91,27.8,1.38,Aged
0.21551,0.0,195.8,0,0.871,5.628,100.0,15.2,5,403.0,14.7,169.27,16.65,1.56,Aged
0.23686,0.0,195.8,0,0.871,4.926,95.7,14.6,5,403.0,14.7,391.71,29.53,1.46,Aged
0.2331,0.0,195.8,0,0.871,5.186,93.8,15.3,5,403.0,14.7,356.99,28.32,1.78,Aged
0.2734,0.0,195.8,0,0.871,5.597,94.9,15.3,5,403.0,14.7,351.85,21.45,1.54,Aged
0.16566,0.0,195.8,0,0.871,6.122,97.3,16.2,5,403.0,14.7,372.8,14.1,2.15,Aged
0.14963,0.0,195.8,0,0.871,5.404,100.0,15.9,5,403.0,14.7,341.6,13.28,1.96,Aged
0.11266,0.0,195.8,1,0.871,5.012,88.0,16.1,5,403.0,14.7,343.28,12.12,1.53,Aged
0.21492,0.0,195.8,0,0.871,5.709,98.5,16.2,5,403.0,14.7,261.95,15.79,1.94,Aged
0.14139,0.0,195.8,1,0.871,6.129,96.0,17.5,5,403.0,14.7,321.02,15.12,1.7,Aged
0.3535,0.0,195.8,1,0.871,6.152,82.6,17.5,5,403.0,14.7,88.01,15.02,1.56,Aged
0.24467,0.0,195.8,0,0.871,5.272,94.0,17.4,5,403.0,14.7,88.63,16.14,1.31,Aged
0.12236,0.0,195.8,0,0.605,6.943,97.4,18.8,5,403.0,14.7,363.43,4.59,4.13,Aged
0.13428,0.0,195.8,0,0.605,6.066,100.0,17.6,5,403.0,14.7,353.89,6.43,2.43,Aged
0.1425,0.0,195.8,0,0.871,6.51,100.0,17.7,5,403.0,14.7,364.31,7.39,2.33,Aged
0.12735,0.0,195.8,1,0.605,6.25,92.6,18.0,5,403.0,14.7,338.92,5.5,2.7,Aged
0.14634,0.0,195.8,0,0.605,7.489,90.8,19.7,5,403.0,14.7,374.43,1.73,5.0,Aged
0.18338,0.0,195.8,1,0.605,7.802,98.2,20.4,5,403.0,14.7,389.61,1.92,5.0,Aged
0.1519,0.0,195.8,1,0.605,8.375,93.9,21.6,5,403.0,14.7,388.45,3.32,5.0,Aged
0.22424,0.0,195.8,0,0.605,5.854,91.8,24.2,5,403.0,14.7,395.11,11.64,2.27,Aged
0.2924,0.0,195.8,0,0.605,6.101,93.0,22.8,5,403.0,14.7,240.16,9.81,2.5,Aged
0.20102,0.0,195.8,0,0.605,7.929,96.2,20.5,5,403.0,14.7,369.3,3.7,5.0,Aged
0.18003,0.0,195.8,0,0.605,5.877,79.2,24.3,5,403.0,14.7,227.61,12.14,2.38,Aged
0.23004,0.0,195.8,0,0.605,6.319,96.1,21.0,5,403.0,14.7,297.09,11.1,2.38,Aged
0.24495,0.0,195.8,0,0.605,6.402,95.2,22.6,5,403.0,14.7,330.04,11.32,2.23,Aged
0.12074,0.0,195.8,0,0.605,5.875,94.6,24.3,5,403.0,14.7,292.29,14.43,1.74,Aged
0.23139,0.0,195.8,0,0.605,5.88,97.3,23.9,5,403.0,14.7,348.13,12.03,1.91,Aged
0.01391,0.0,40.5,0,0.51,5.572,88.5,26.0,5,296.0,16.6,396.9,14.69,2.31,Aged
0.00918,0.0,40.5,0,0.51,6.416,84.1,26.5,5,296.0,16.6,395.5,9.04,2.36,Aged
0.00845,0.0,40.5,0,0.51,5.859,68.7,27.0,5,296.0,16.6,393.23,9.64,2.26,Aged
0.00666,0.0,40.5,0,0.51,6.546,33.1,31.3,5,296.0,16.6,390.96,5.33,2.94,Aged
0.00702,0.0,40.5,0,0.51,6.02,47.2,35.5,5,296.0,16.6,393.23,10.11,2.32,Aged
0.00542,0.0,40.5,0,0.51,6.315,73.4,33.2,5,296.0,16.6,395.6,6.29,2.46,Aged
0.00664,0.0,40.5,0,0.51,6.86,74.4,29.2,5,296.0,16.6,391.27,6.92,2.99,Aged
0.00578,0.0,24.6,0,0.488,6.98,58.4,28.3,3,193.0,17.8,396.9,5.04,3.72,Aged
0.00659,0.0,24.6,0,0.488,7.765,83.3,27.4,3,193.0,17.8,395.56,7.56,3.98,Aged
0.00689,0.0,24.6,0,0.488,6.144,62.2,26.0,3,193.0,17.8,396.9,9.45,3.62,Aged
0.0091,0.0,24.6,0,0.488,7.155,92.2,27.0,3,193.0,17.8,394.12,4.82,3.79,Aged
0.01001,0.0,24.6,0,0.488,6.563,95.6,28.5,3,193.0,17.8,396.9,5.68,3.25,Aged
0.00831,0.0,24.6,0,0.488,5.604,89.8,29.9,3,193.0,17.8,391.0,13.98,2.64,Aged
0.00605,0.0,24.6,0,0.488,6.153,68.8,32.8,3,193.0,17.8,387.11,13.15,2.96,Aged
0.0056,0.0,24.6,0,0.488,7.831,53.6,32.0,3,193.0,17.8,392.63,4.45,5.0,Aged
0.00788,45.0,34.4,0,0.437,6.782,41.1,37.9,5,398.0,15.2,393.87,6.68,3.2,Aged
0.01258,45.0,34.4,0,0.437,6.556,29.1,45.7,5,398.0,15.2,382.84,4.56,2.98,Aged
0.00837,45.0,34.4,0,0.437,7.185,38.9,45.7,5,398.0,15.2,396.9,5.39,3.49,Aged
0.00907,45.0,34.4,0,0.437,6.951,21.5,64.8,5,398.0,15.2,377.68,5.1,3.7,Aged
0.00691,45.0,34.4,0,0.437,6.739,30.8,64.8,5,398.0,15.2,389.71,4.69,3.05,Aged
0.00866,45.0,34.4,0,0.437,7.178,26.3,64.8,5,398.0,15.2,390.49,2.87,3.64,Aged
0.00219,60.0,29.3,0,0.401,6.8,9.9,62.2,1,265.0,15.6,393.37,5.03,3.11,Mid-life
0.00144,60.0,29.3,0,0.401,6.604,18.8,62.2,1,265.0,15.6,376.7,4.38,2.91,Aged
0.00138,80.0,4.6,0,0.422,7.875,32.0,56.5,4,255.0,14.4,394.23,2.97,5.0,Aged
0.00401,80.0,15.2,0,0.404,7.287,34.1,73.1,2,329.0,12.6,396.9,4.08,3.33,Aged
0.00467,80.0,15.2,0,0.404,7.107,36.6,73.1,2,329.0,12.6,354.31,8.61,3.03,Aged
0.00377,80.0,15.2,0,0.404,7.274,38.3,73.1,2,329.0,12.6,392.2,6.62,3.46,Aged
0.00315,95.0,14.7,0,0.403,6.975,15.3,76.5,3,402.0,17.0,396.9,4.56,3.49,Aged
0.00178,95.0,14.7,0,0.403,7.135,13.9,76.5,3,402.0,17.0,384.3,4.45,3.29,Mid-life
0.00344,82.5,20.3,0,0.415,6.162,38.4,62.7,2,348.0,14.7,393.77,7.43,2.41,Aged
0.00218,82.5,20.3,0,0.415,7.61,15.7,62.7,2,348.0,14.7,395.38,3.11,4.23,Aged
0.00351,95.0,26.8,0,0.416,7.853,33.2,51.2,4,224.0,14.7,392.78,3.81,4.85,Aged
0.00201,95.0,26.8,0,0.416,8.034,31.9,51.2,4,224.0,14.7,390.55,2.88,5.0,Aged
0.01364,0.0,105.9,0,0.489,5.891,22.3,39.5,4,277.0,18.6,396.9,10.87,2.26,Aged
0.02297,0.0,105.9,0,0.489,6.326,52.5,43.5,4,277.0,18.6,394.87,10.97,2.44,Aged
0.0252,0.0,105.9,0,0.489,5.783,72.7,43.5,4,277.0,18.6,389.43,18.06,2.25,Aged
0.01359,0.0,105.9,1,0.489,6.064,59.1,42.4,4,277.0,18.6,381.32,14.66,2.44,Aged
0.04357,0.0,105.9,1,0.489,5.344,100.0,38.8,4,277.0,18.6,396.9,23.09,2.0,Aged
0.01745,0.0,105.9,1,0.489,5.96,92.1,38.8,4,277.0,18.6,393.25,17.27,2.17,Aged
0.03758,0.0,105.9,1,0.489,5.404,88.6,36.6,4,277.0,18.6,395.24,23.98,1.93,Aged
0.02172,0.0,105.9,1,0.489,5.807,53.8,36.5,4,277.0,18.6,390.94,16.03,2.24,Aged
0.01405,0.0,105.9,0,0.489,6.375,32.3,39.5,4,277.0,18.6,385.81,9.38,2.81,Aged
0.02896,0.0,105.9,0,0.489,5.412,9.8,35.9,4,277.0,18.6,348.93,29.55,2.37,Mid-life
0.0198,0.0,105.9,0,0.489,6.182,42.4,39.5,4,277.0,18.6,393.63,9.47,2.5,Aged
0.00456,0.0,138.9,1,0.55,5.888,56.0,31.1,5,276.0,16.4,392.8,13.51,2.33,Aged
0.00701,0.0,138.9,0,0.55,6.642,85.1,34.2,5,276.0,16.4,392.78,9.69,2.87,Aged
0.01107,0.0,138.9,1,0.55,5.951,93.8,28.9,5,276.0,16.4,396.9,17.92,2.15,Aged
0.01142,0.0,138.9,1,0.55,6.373,92.4,33.6,5,276.0,16.4,393.74,10.5,2.3,Aged
0.03581,0.0,62.0,1,0.507,6.951,88.5,28.6,8,307.0,17.4,391.7,9.71,2.67,Aged
0.04077,0.0,62.0,1,0.507,6.164,91.3,30.5,8,307.0,17.4,395.24,21.46,2.17,Aged
0.06236,0.0,62.0,1,0.507,6.879,77.7,32.7,8,307.0,17.4,390.39,9.93,2.75,Aged
0.06147,0.0,62.0,0,0.507,6.618,80.8,32.7,8,307.0,17.4,396.9,7.6,3.01,Aged
0.03153,0.0,62.0,0,0.504,8.266,78.3,28.9,8,307.0,17.4,385.05,4.14,4.48,Aged
0.05269,0.0,62.0,0,0.504,8.725,83.0,28.9,8,307.0,17.4,382.0,4.63,5.0,Aged
0.03821,0.0,62.0,0,0.504,8.04,86.5,32.2,8,307.0,17.4,387.38,3.13,3.76,Aged
0.04124,0.0,62.0,0,0.504,7.163,79.9,32.2,8,307.0,17.4,372.08,6.36,3.16,Aged
0.02982,0.0,62.0,0,0.504,7.686,17.0,33.8,8,307.0,17.4,377.51,3.92,4.67,Aged
0.04418,0.0,62.0,0,0.504,6.552,21.4,33.8,8,307.0,17.4,380.34,3.76,3.15,Aged
0.0537,0.0,62.0,0,0.504,5.981,68.1,36.7,8,307.0,17.4,378.35,11.65,2.43,Aged
0.0463,0.0,62.0,0,0.504,7.412,76.9,36.7,8,307.0,17.4,376.14,5.25,3.17,Aged
0.05753,0.0,62.0,0,0.507,8.337,73.3,38.4,8,307.0,17.4,385.91,2.47,4.17,Aged
0.03315,0.0,62.0,0,0.507,8.247,70.4,36.5,8,307.0,17.4,378.95,3.95,4.83,Aged
0.04479,0.0,62.0,1,0.507,6.726,66.5,36.5,8,307.0,17.4,360.2,8.05,2.9,Aged
0.03305,0.0,62.0,0,0.507,6.086,61.5,36.5,8,307.0,17.4,376.75,10.88,2.4,Aged
0.05206,0.0,62.0,1,0.507,6.631,76.5,41.5,8,307.0,17.4,388.45,9.54,2.51,Aged
0.05118,0.0,62.0,0,0.507,7.358,71.6,41.5,8,307.0,17.4,390.07,4.73,3.15,Aged
0.00824,30.0,49.3,0,0.428,6.481,18.5,61.9,6,300.0,16.6,379.41,6.36,2.37,Aged
0.00925,30.0,49.3,0,0.428,6.606,42.2,61.9,6,300.0,16.6,383.78,7.37,2.33,Aged
